Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Abc.Zebus.Directory.Runner,Program,D:\research\architectureSmells\repos\Abc-Arbitrage_Zebus\src\Abc.Zebus.Directory.Runner\Program.cs,Main,The length of the statement  "            XmlConfigurator.ConfigureAndWatch(LogManager.GetRepository(typeof(Program).Assembly)' new FileInfo(PathUtil.InBaseDirectory("log4net.config"))); " is 144.
Long Statement,Abc.Zebus.Directory.Runner,Program,D:\research\architectureSmells\repos\Abc-Arbitrage_Zebus\src\Abc.Zebus.Directory.Runner\Program.cs,InjectDirectoryServiceSpecificConfiguration,The length of the statement  "                c.ForSingletonOf<IPeerRepository>().Use(ctx => useCassandraStorage ? (IPeerRepository)ctx.GetInstance<CqlPeerRepository>() : ctx.GetInstance<MemoryPeerRepository>()); " is 166.
Magic Number,Abc.Zebus.Directory.Runner,CassandraAppSettingsConfiguration,D:\research\architectureSmells\repos\Abc-Arbitrage_Zebus\src\Abc.Zebus.Directory.Runner\CassandraAppSettingsConfiguration.cs,CassandraAppSettingsConfiguration,The following statement contains a magic number: QueryTimeout = AppSettings.Get("Cassandra.QueryTimeout"' 5.Seconds());
