Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetTrainingDataArray,The method has 7 parameters.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetNeuralNetwork,The length of the statement  "	net.AddLayer (new BasicLayer (GetActivationFunction (inputL.Element ("ActivationFunction").Attribute ("Type").Value.Trim ())' true' int.Parse (inputL.Attribute ("Size").Value))); " is 178.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetNeuralNetwork,The length of the statement  "		net.AddLayer (new BasicLayer (GetActivationFunction (layer.Element ("ActivationFunction").Attribute ("Type").Value.Trim ())' true' int.Parse (layer.Attribute ("Size").Value))); " is 176.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetNeuralNetwork,The length of the statement  "	net.AddLayer (new BasicLayer (GetActivationFunction (outputL.Element ("ActivationFunction").Attribute ("Type").Value.Trim ())' true' int.Parse (outputL.Attribute ("Size").Value))); " is 180.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetTrainingDataArray,The length of the statement  "	int size = int.Parse (xmlNeuroNet.Element ("NetStruct").Descendants ("Layer").First (x => x.Attribute ("Name") != null && x.Attribute ("Name").Value == "Input").Attribute ("Size").Value); " is 187.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetTrainingDataArray,The length of the statement  "	int sizeOutput = int.Parse (xmlNeuroNet.Element ("NetStruct").Descendants ("Layer").First (x => x.Attribute ("Name") != null && x.Attribute ("Name").Value == "Output").Attribute ("Size").Value); " is 194.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetTrainingDataNotParallel,The length of the statement  "	int size = int.Parse (xmlNeuroNet.Element ("NetStruct").Descendants ("Layer").First (x => x.Attribute ("Name") != null && x.Attribute ("Name").Value == "Input").Attribute ("Size").Value); " is 187.
Long Statement,emds.common,np4load,C:\repos\neismit_emds\emds.common\np4load.cs,GetTrainingDataNotParallel,The length of the statement  "	int sizeOutput = int.Parse (xmlNeuroNet.Element ("NetStruct").Descendants ("Layer").First (x => x.Attribute ("Name") != null && x.Attribute ("Name").Value == "Output").Attribute ("Size").Value); " is 194.
