Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SharedFormsCode,LoadStatusToColorConverter,C:\repos\Esri_arcgis-runtime-samples-dotnet\src\Forms\Shared\Samples\Security\TokenUser\SharedFormsCode\LoadStatusToColorConverter.cs,Convert,The following statement contains a magic number: switch ((int)value)              {                  // Green for loaded                  // Red for not loaded or failure to load                  // Gray if still loading                  case 0: // == Esri.ArcGISRuntime.LoadStatus.Loaded                      statusColor = Color.Green;                      break;                  case 1: // == Esri.ArcGISRuntime.LoadStatus.Loading                      statusColor = Color.Gray;                      break;                  case 2: // == Esri.ArcGISRuntime.LoadStatus.FailedToLoad                      statusColor = Color.Red;                      break;                  case 3: // == Esri.ArcGISRuntime.LoadStatus.NotLoaded                      statusColor = Color.Red;                      break;              }
Magic Number,SharedFormsCode,LoadStatusToColorConverter,C:\repos\Esri_arcgis-runtime-samples-dotnet\src\Forms\Shared\Samples\Security\TokenUser\SharedFormsCode\LoadStatusToColorConverter.cs,Convert,The following statement contains a magic number: switch ((int)value)              {                  // Green for loaded                  // Red for not loaded or failure to load                  // Gray if still loading                  case 0: // == Esri.ArcGISRuntime.LoadStatus.Loaded                      statusColor = Color.Green;                      break;                  case 1: // == Esri.ArcGISRuntime.LoadStatus.Loading                      statusColor = Color.Gray;                      break;                  case 2: // == Esri.ArcGISRuntime.LoadStatus.FailedToLoad                      statusColor = Color.Red;                      break;                  case 3: // == Esri.ArcGISRuntime.LoadStatus.NotLoaded                      statusColor = Color.Red;                      break;              }
Missing Default,SharedFormsCode,LoadStatusToColorConverter,C:\repos\Esri_arcgis-runtime-samples-dotnet\src\Forms\Shared\Samples\Security\TokenUser\SharedFormsCode\LoadStatusToColorConverter.cs,Convert,The following switch statement is missing a default case: switch ((int)value)              {                  // Green for loaded                  // Red for not loaded or failure to load                  // Gray if still loading                  case 0: // == Esri.ArcGISRuntime.LoadStatus.Loaded                      statusColor = Color.Green;                      break;                  case 1: // == Esri.ArcGISRuntime.LoadStatus.Loading                      statusColor = Color.Gray;                      break;                  case 2: // == Esri.ArcGISRuntime.LoadStatus.FailedToLoad                      statusColor = Color.Red;                      break;                  case 3: // == Esri.ArcGISRuntime.LoadStatus.NotLoaded                      statusColor = Color.Red;                      break;              }
