Method,LOC,CC,PC
FeatureLayerSelection:OnMapViewTapped,22,1,2
ChangeSublayerVisibility:ChangeSublayerVisibility,5,1,0
ChangeSublayerVisibility:Initialize,16,1,0
ChangeSublayerVisibility:OnSublayersButtonClicked,32,2,2
ChangeSublayerVisibility:OnSublayerToggled,7,1,2
ChangeFeatureLayerRenderer:ChangeFeatureLayerRenderer,5,1,0
ChangeFeatureLayerRenderer:Initialize,27,2,0
ChangeFeatureLayerRenderer:OnOverrideButtonClicked,13,1,2
ChangeFeatureLayerRenderer:OnResetButtonClicked,4,1,2
RasterLayerImageServiceRaster:RasterLayerImageServiceRaster,5,1,0
RasterLayerImageServiceRaster:Initialize,24,1,0
RasterRenderingRule:RasterRenderingRule,5,1,0
RasterRenderingRule:Initialize,30,2,0
RasterRenderingRule:comboBox_RenderingRuleChooser_SelectionChanged,22,3,2
SceneLayerUrl:SceneLayerUrl,5,1,0
SceneLayerUrl:Initialize,19,1,0
RasterLayerRasterFunction:RasterLayerRasterFunction,5,1,0
RasterLayerRasterFunction:Initialize,68,1,0
WMTSLayer:WMTSLayer,3,1,0
WMTSLayer:Button1_Click,24,1,2
WMTSLayer:Button2_Click,32,1,2
DisplayDeviceLocation:DisplayDeviceLocation,5,1,0
DisplayDeviceLocation:Initialize,8,1,0
DisplayDeviceLocation:OnStopClicked,6,2,2
DisplayDeviceLocation:OnLocationModesSelectionChanged,39,3,2
ShowMagnifier:ShowMagnifier,4,1,0
ShowMagnifier:Initialize,8,1,0
TakeScreenshot:TakeScreenshot,5,1,0
TakeScreenshot:Initialize,6,1,0
TakeScreenshot:OnTakeScreenshotButtonClicked,21,1,2
DisplayLayerViewState:DisplayLayerViewState,5,1,0
DisplayLayerViewState:Initialize,39,1,0
DisplayLayerViewState:OnLayerViewStateChanged,21,2,2
DisplayDrawingStatus:DisplayDrawingStatus,5,1,0
DisplayDrawingStatus:Initialize,16,1,0
DisplayDrawingStatus:OnDrawStatusChanged,15,1,2
ChangeViewpoint:ChangeViewpoint,5,1,0
ChangeViewpoint:Initialize,6,1,0
ChangeViewpoint:OnButtonClick,29,2,2
FeatureLayerDefinitionExpression:FeatureLayerDefinitionExpression,5,1,0
FeatureLayerDefinitionExpression:Initialize,21,1,0
FeatureLayerDefinitionExpression:OnApplyExpressionClicked,4,1,2
FeatureLayerDefinitionExpression:OnResetButtonClicked,4,1,2
MapRotation:MapRotation,4,1,0
MapRotation:Initialize,7,1,0
MapRotation:MySlider_ValueChanged,7,1,2
AccessLoadStatus:AccessLoadStatus,5,1,0
AccessLoadStatus:Initialize,8,1,0
AccessLoadStatus:OnMapsLoadStatusChanged,7,1,2
AuthorMap:AuthorMap,7,1,0
AuthorMap:Initialize,9,1,0
AuthorMap:BasemapItemClick,7,1,2
AuthorMap:LayerSelectionChanged,4,1,2
AuthorMap:SaveMapClicked,63,4,2
AuthorMap:ClearMapClicked,4,1,2
AuthorMap:ApplyBasemap,30,2,1
AuthorMap:AddOperationalLayers,16,2,0
AuthorMap:SaveNewMapAsync,27,1,5
AuthorMap:UpdateViewExtentLabels,14,2,0
AuthorMap:ShowOAuthSettingsDialog,23,2,0
AuthorMap:UpdateAuthenticationManager,21,1,0
AuthorMap:CreateCredentialAsync,23,2,1
ManageBookmarks:ManageBookmarks,5,1,0
ManageBookmarks:Initialize,47,1,0
ManageBookmarks:OnBookmarkChooserSelectionChanged,5,1,2
ManageBookmarks:ButtonAddBookmark_Click,6,1,2
ManageBookmarks:ButtonCanel_Click,5,1,2
ManageBookmarks:ButtonAddDone_Click,25,3,2
OpenMapURL:OpenMapURL,5,1,0
OpenMapURL:Initialize,9,1,0
OpenMapURL:OnMapsChooseSelectionChanged,7,1,2
ChangeBasemap:ChangeBasemap,5,1,0
ChangeBasemap:Initialize,8,1,0
ChangeBasemap:OnBasemapListSelectionChanged,24,2,2
DisplayMap:DisplayMap,5,1,0
DisplayMap:Initialize,6,1,0
OpenMobileMap:OpenMobileMap,5,1,0
OpenMobileMap:Initialize,12,2,0
OpenMobileMap:GetMmpkPath,20,2,0
SearchPortalMaps:SearchPortalMaps,7,1,0
SearchPortalMaps:DisplayDefaultMap,6,1,0
SearchPortalMaps:ShowOAuthSettingsDialog,23,2,0
SearchPortalMaps:OnMapSelectionChanged,20,3,2
SearchPortalMaps:WebMapLoadStatusChanged,15,3,2
SearchPortalMaps:MyMapsClicked,29,4,2
SearchPortalMaps:SearchMapsClicked,17,1,2
SearchPortalMaps:EnsureLoggedInAsync,27,1,0
SearchPortalMaps:UpdateAuthenticationManager,21,1,0
SearchPortalMaps:CreateCredentialAsync,14,1,1
SetInitialMapLocation:SetInitialMapLocation,5,1,0
SetInitialMapLocation:Initialize,6,1,0
SetInitialMapArea:SetInitialMapArea,5,1,0
SetInitialMapArea:Initialize,11,1,0
SetMinMaxScale:SetMinMaxScale,5,1,0
SetMinMaxScale:Initialize,19,1,0
SetMapSpatialReference:SetMapSpatialReference,5,1,0
SetMapSpatialReference:Initialize,13,1,0
FindRoute:FindRoute,5,1,0
FindRoute:Initialize,32,1,0
FindRoute:SolveRouteClick,25,1,2
FindRoute:ResetClick,16,3,2
FindPlace:FindPlace,5,1,0
FindPlace:Initialize,17,1,0
FindPlace:GetSearchMapPoint,19,3,1
FindPlace:UpdateSearch,61,7,3
FindPlace:GraphicForPoint,17,1,1
FindPlace:MyMapView_GeoViewTapped,16,2,2
FindPlace:GetSuggestResults,27,6,3
FindPlace:ShowStatusMessage,5,1,1
FindPlace:MySearchBox_TextChanged,12,2,2
FindPlace:MyLocationBox_TextChanged,14,2,2
FindPlace:MySearchRestrictedButton_Click,8,1,2
FindPlace:MySearchButton_Click,8,1,2
RenderPictureMarkers:RenderPictureMarkers,5,1,0
RenderPictureMarkers:Initialize,18,1,0
RenderPictureMarkers:CreatePictureMarkerSymbolFromUrl,16,1,1
RenderPictureMarkers:CreatePictureMarkerSymbolFromResources,16,1,1
RenderSimpleMarkers:RenderSimpleMarkers,5,1,0
RenderSimpleMarkers:Initialize,25,1,0
RenderUniqueValues:RenderUniqueValues,5,1,0
RenderUniqueValues:Initialize,43,1,0
SimpleRenderers:SimpleRenderers,5,1,0
SimpleRenderers:Initialize,32,1,0
UseDistanceCompositeSym:UseDistanceCompositeSym,5,1,0
UseDistanceCompositeSym:Initialize,23,1,0
UseDistanceCompositeSym:CreateCompositeSymbol,20,1,0
AuthorEditSaveMap:AuthorEditSaveMap,11,1,0
AuthorEditSaveMap:OnBasemapsClicked,8,1,2
AuthorEditSaveMap:OnSaveMapClick,58,3,2
