Implementation smell,Namespace,Class,File,Method,Description
Long Statement,StackExchange.Exceptional.Stores,MongoDBErrorStore,C:\research\architectureSmells\repos\NickCraver_StackExchange.Exceptional\src\StackExchange.Exceptional.MongoDB\MongoDBErrorStore.cs,HardDeleteErrorAsync,The length of the statement  "            var filter = Builders<Error>.Filter.Eq(x => x.GUID' guid) & Builders<Error>.Filter.Eq(x => x.ApplicationName' ApplicationName); " is 127.
Long Statement,StackExchange.Exceptional.Stores,MongoDBErrorStore,C:\research\architectureSmells\repos\NickCraver_StackExchange.Exceptional\src\StackExchange.Exceptional.MongoDB\MongoDBErrorStore.cs,DeleteAllErrorsAsync,The length of the statement  "            var filter = Builders<Error>.Filter.Eq(x => x.ApplicationName' applicationName ?? ApplicationName) & Builders<Error>.Filter.Eq(x => x.IsProtected' false) & Builders<Error>.Filter.Eq(x => x.DeletionDate' null); " is 209.
Long Statement,StackExchange.Exceptional.Stores,MongoDBErrorStore,C:\research\architectureSmells\repos\NickCraver_StackExchange.Exceptional\src\StackExchange.Exceptional.MongoDB\MongoDBErrorStore.cs,GetAllErrorsAsync,The length of the statement  "            var filter = Builders<Error>.Filter.Eq(x => x.ApplicationName' applicationName ?? ApplicationName) & Builders<Error>.Filter.Eq(x => x.DeletionDate' null); " is 154.
Long Statement,StackExchange.Exceptional.Stores,MongoDBErrorStore,C:\research\architectureSmells\repos\NickCraver_StackExchange.Exceptional\src\StackExchange.Exceptional.MongoDB\MongoDBErrorStore.cs,GetAllErrorsAsync,The length of the statement  "            var errors = await c.Find(filter).SortByDescending(x => x.CreationDate).Limit(_displayCount).ToListAsync().ConfigureAwait(false); " is 129.
Long Statement,StackExchange.Exceptional.Stores,MongoDBErrorStore,C:\research\architectureSmells\repos\NickCraver_StackExchange.Exceptional\src\StackExchange.Exceptional.MongoDB\MongoDBErrorStore.cs,GetErrorCountAsync,The length of the statement  "            var filter = Builders<Error>.Filter.Eq(x => x.ApplicationName' applicationName ?? ApplicationName) & Builders<Error>.Filter.Eq(x => x.DeletionDate' null); " is 154.
