Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MVVMSample,MockServerProxy,C:\repos\igorskir_CodeProject-Examples\soucre\4. MVVM\SIMPLE_MVVM_SOURCE\MVVMSample\MockServerProxy.cs,MockServerProxy,The following statement contains a magic number: _students.Add (new StudentViewModel {  	FirstName = "John"'  	LastName = "Smith"'  	GradePointAverage = 3.75  });  
Magic Number,MVVMSample,MockServerProxy,C:\repos\igorskir_CodeProject-Examples\soucre\4. MVVM\SIMPLE_MVVM_SOURCE\MVVMSample\MockServerProxy.cs,MockServerProxy,The following statement contains a magic number: _students.Add (new StudentViewModel {  	FirstName = "Kathy"'  	LastName = "Green"'  	GradePointAverage = 4.0  });  
