Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MVVMExample,App,C:\repos\igorskir_CodeProject-Examples\soucre\4. MVVM\MVVMExampleSln\MVVMExample\App.xaml.cs,ReportErrorToDOM,The length of the statement  "	System.Windows.Browser.HtmlPage.Window.Eval ("throw new Error(\"Unhandled Error in Silverlight Application " + errorMsg + "\");"); " is 130.
Long Statement,MVVMExample,DeleteCommand,C:\repos\igorskir_CodeProject-Examples\soucre\4. MVVM\MVVMExampleSln\MVVMExample\DeleteCommand.cs,Execute,The length of the statement  "			var result = MessageBox.Show ("Are you sure you wish to delete the contact?"' "Confirm Delete"' MessageBoxButton.OKCancel); " is 123.
Magic Number,MVVMExample,Service,C:\repos\igorskir_CodeProject-Examples\soucre\4. MVVM\MVVMExampleSln\MVVMExample\Service.cs,GetContacts,The following statement contains a magic number: timer.Interval = TimeSpan.FromMilliseconds (1000);  
