Implementation smell,Namespace,Class,File,Method,Description
Long Statement,UnitTests,Test,D:\research\architectureSmells\repos\jstedfast_EmailValidation\UnitTests\Test.cs,TestInvalidAddresses,The length of the statement  "				Assert.IsFalse (EmailValidator.Validate (InvalidAddresses[i]' true)' "Invalid Address #{0}: {1}"' i' InvalidAddresses[i]);" is 122.
Long Statement,UnitTests,Test,D:\research\architectureSmells\repos\jstedfast_EmailValidation\UnitTests\Test.cs,TestValidInternationalAddresses,The length of the statement  "				Assert.IsTrue (EmailValidator.Validate (ValidInternationalAddresses[i]' true' true)' "Valid International Address #{0}"' i);" is 124.
