Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NEventStore.Persistence.AcceptanceTests.BDD,SpecificationBase,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\BDD\NUnit\SpecificationBase.cs,CheckForTestFixturefailure,The length of the statement  "				string msg = string.Format("There was a failure during Context() or Because() phases.\n\rException: {0}\n\rStacktrace: {1}"' " is 124.
Long Statement,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,CommitMany,The length of the statement  "                attempt = attempt == null ? (streamId ?? Guid.NewGuid().ToString()).BuildAttempt(null' bucketId) : attempt.BuildNextAttempt();" is 126.
Long Statement,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,BuildCommit,The length of the statement  "            return new CommitAttempt(streamId' streamRevision' commitId' commitSequence' SystemTime.UtcNow' headers' events.ToList());" is 122.
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,BuildAttempt,The following statement contains a magic number: return new CommitAttempt(                 bucketId: bucketId'                  streamId: streamId'                  streamRevision: 2'                  commitId: Guid.NewGuid()'                  commitSequence: 1'                  commitStamp: now.Value'                  headers: new Dictionary<string' object> { { "A header"' "A string value" }' { "Another header"' 2 } }'                  events: messages             );
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,BuildAttempt,The following statement contains a magic number: return new CommitAttempt(                 bucketId: bucketId'                  streamId: streamId'                  streamRevision: 2'                  commitId: Guid.NewGuid()'                  commitSequence: 1'                  commitStamp: now.Value'                  headers: new Dictionary<string' object> { { "A header"' "A string value" }' { "Another header"' 2 } }'                  events: messages             );
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,BuildNextAttempt,The following statement contains a magic number: return new CommitAttempt(commit.BucketId'                 commit.StreamId'                 commit.StreamRevision + 2'                 Guid.NewGuid()'                 commit.CommitSequence + 1'                 commit.CommitStamp.AddSeconds(1)'                 new Dictionary<string' object>()'                 messages);
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,Populate,The following statement contains a magic number: return new SimpleMessage             {                 Id = Guid.NewGuid()'                 Count = 1234'                 Created = new DateTime(2000' 2' 3' 4' 5' 6' 7).ToUniversalTime()'                 Value = message.Value + "Hello' World!"'                 Contents = { "a"' null' string.Empty' "d" }             };
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,Populate,The following statement contains a magic number: return new SimpleMessage             {                 Id = Guid.NewGuid()'                 Count = 1234'                 Created = new DateTime(2000' 2' 3' 4' 5' 6' 7).ToUniversalTime()'                 Value = message.Value + "Hello' World!"'                 Contents = { "a"' null' string.Empty' "d" }             };
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,Populate,The following statement contains a magic number: return new SimpleMessage             {                 Id = Guid.NewGuid()'                 Count = 1234'                 Created = new DateTime(2000' 2' 3' 4' 5' 6' 7).ToUniversalTime()'                 Value = message.Value + "Hello' World!"'                 Contents = { "a"' null' string.Empty' "d" }             };
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,Populate,The following statement contains a magic number: return new SimpleMessage             {                 Id = Guid.NewGuid()'                 Count = 1234'                 Created = new DateTime(2000' 2' 3' 4' 5' 6' 7).ToUniversalTime()'                 Value = message.Value + "Hello' World!"'                 Contents = { "a"' null' string.Empty' "d" }             };
Magic Number,NEventStore.Persistence.AcceptanceTests,ExtensionMethods,C:\research\architectureSmells\repos\NEventStore_NEventStore\src\NEventStore.Persistence.AcceptanceTests\ExtensionMethods.cs,Populate,The following statement contains a magic number: return new SimpleMessage             {                 Id = Guid.NewGuid()'                 Count = 1234'                 Created = new DateTime(2000' 2' 3' 4' 5' 6' 7).ToUniversalTime()'                 Value = message.Value + "Hello' World!"'                 Contents = { "a"' null' string.Empty' "d" }             };
