Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SisoDb.Specifications.Model,QueryBigIdentityItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryBigIdentityItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject (StructureId' SortOrder' IntegerValue' NullableIntegerValue' StringValue' GuidValue.ToString ("N")' BoolValue.ToString ().ToLower ()); " is 159.
Long Statement,SisoDb.Specifications.Model,QueryGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryGuidItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject ("\"" + StructureId.ToString ("N") + "\""' SortOrder' IntegerValue' NullableIntegerValue' StringValue' GuidValue.ToString ("N")' BoolValue.ToString ().ToLower ()); " is 188.
Long Statement,SisoDb.Specifications.Model,QueryIdentityItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryIdentityItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject (StructureId' SortOrder' IntegerValue' NullableIntegerValue' StringValue' GuidValue.ToString ("N")' BoolValue.ToString ().ToLower ()); " is 159.
Long Statement,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject ("\"" + StructureId.ToString ("N") + "\""' SortOrder' StringValue' Container.NestedInt' Container.NestedString); " is 137.
Long Statement,SisoDb.Specifications.Model,QueryNestedItemInfo,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedItemInfo.cs,Matches,The length of the statement  "	return SortOrder.Equals (item.SortOrder) && StringValue.Equals (item.StringValue) && Container.NestedInt.Equals (item.Container.NestedInt) && Container.NestedString.Equals (item.Container.NestedString); " is 202.
Long Statement,SisoDb.Specifications.Model,QueryStringItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryStringItem.cs,AsJson,The length of the statement  "	return JsonFormat.Inject ("\"" + StructureId + "\""' SortOrder' IntegerValue' NullableIntegerValue' StringValue' GuidValue.ToString ("N")' BoolValue.ToString ().ToLower ()); " is 173.
Magic Number,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,CreateFourNestedItems,The following statement contains a magic number: return new[] {  	new QueryNestedGuidItem {  		SortOrder = 1'  		StringValue = "A"'  		Container = new Container {  			NestedInt = 11'  			NestedString = "Nested A"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 2'  		StringValue = "B"'  		Container = new Container {  			NestedInt = 12'  			NestedString = "Nested B"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 3'  		StringValue = "C"'  		Container = new Container {  			NestedInt = 13'  			NestedString = "Nested C"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 4'  		StringValue = "D"'  		Container = new Container {  			NestedInt = 14'  			NestedString = "Nested D"  		}  	}'  };  
Magic Number,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,CreateFourNestedItems,The following statement contains a magic number: return new[] {  	new QueryNestedGuidItem {  		SortOrder = 1'  		StringValue = "A"'  		Container = new Container {  			NestedInt = 11'  			NestedString = "Nested A"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 2'  		StringValue = "B"'  		Container = new Container {  			NestedInt = 12'  			NestedString = "Nested B"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 3'  		StringValue = "C"'  		Container = new Container {  			NestedInt = 13'  			NestedString = "Nested C"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 4'  		StringValue = "D"'  		Container = new Container {  			NestedInt = 14'  			NestedString = "Nested D"  		}  	}'  };  
Magic Number,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,CreateFourNestedItems,The following statement contains a magic number: return new[] {  	new QueryNestedGuidItem {  		SortOrder = 1'  		StringValue = "A"'  		Container = new Container {  			NestedInt = 11'  			NestedString = "Nested A"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 2'  		StringValue = "B"'  		Container = new Container {  			NestedInt = 12'  			NestedString = "Nested B"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 3'  		StringValue = "C"'  		Container = new Container {  			NestedInt = 13'  			NestedString = "Nested C"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 4'  		StringValue = "D"'  		Container = new Container {  			NestedInt = 14'  			NestedString = "Nested D"  		}  	}'  };  
Magic Number,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,CreateFourNestedItems,The following statement contains a magic number: return new[] {  	new QueryNestedGuidItem {  		SortOrder = 1'  		StringValue = "A"'  		Container = new Container {  			NestedInt = 11'  			NestedString = "Nested A"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 2'  		StringValue = "B"'  		Container = new Container {  			NestedInt = 12'  			NestedString = "Nested B"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 3'  		StringValue = "C"'  		Container = new Container {  			NestedInt = 13'  			NestedString = "Nested C"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 4'  		StringValue = "D"'  		Container = new Container {  			NestedInt = 14'  			NestedString = "Nested D"  		}  	}'  };  
Magic Number,SisoDb.Specifications.Model,QueryNestedGuidItem,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Tests\SisoDb.Specifications.Sql2012\..\sisodb.specifications\model\QueryNestedGuidItem.cs,CreateFourNestedItems,The following statement contains a magic number: return new[] {  	new QueryNestedGuidItem {  		SortOrder = 1'  		StringValue = "A"'  		Container = new Container {  			NestedInt = 11'  			NestedString = "Nested A"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 2'  		StringValue = "B"'  		Container = new Container {  			NestedInt = 12'  			NestedString = "Nested B"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 3'  		StringValue = "C"'  		Container = new Container {  			NestedInt = 13'  			NestedString = "Nested C"  		}  	}'  	new QueryNestedGuidItem {  		SortOrder = 4'  		StringValue = "D"'  		Container = new Container {  			NestedInt = 14'  			NestedString = "Nested D"  		}  	}'  };  
