Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SisoDb.Dynamic,DynamicSessionExtensions,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Projects\SisoDb.Dynamic\DynamicSessionExtensions.cs,Query,The length of the statement  "	return new SisoDynamicQueryable (structureType' session.Db.ProviderFactory.GetQueryBuilder (structureType' session.Db.StructureSchemas)' session.QueryEngine' SisoDynamicRuntime.LambdaBuilderResolver.Invoke ()); " is 210.
Long Statement,SisoDb.Dynamic,SisoDynamicQueryable,F:\newReposMay17\danielwertheim_SisoDb-Provider\Source\Projects\SisoDb.Dynamic\SisoDynamicQueryable.cs,Count,The length of the statement  "	return QueryBuilder.IsEmpty ? QueryEngine.Count (StructureType) : QueryEngine.Count (StructureType' QueryBuilder.Build ()); " is 123.
