Architecture smell,Project,Namespace,Cause
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json' Newtonsoft.Json.Serialization' Newtonsoft.Json.Utilities
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json' Newtonsoft.Json.Converters
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json' Newtonsoft.Json.Serialization
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Converters,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json.Converters' Newtonsoft.Json.Serialization
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Linq,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json.Linq' Newtonsoft.Json.Serialization' Newtonsoft.Json
Cyclic Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Serialization,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Newtonsoft.Json.Serialization' Newtonsoft.Json.Utilities
Unstable Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): hacs' Newtonsoft.Json.Serialization' Newtonsoft.Json.Schema' Newtonsoft.Json.Linq' Newtonsoft.Json.Converters
Unstable Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Converters,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Newtonsoft.Json.Serialization
Unstable Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Schema,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Newtonsoft.Json.Serialization
Unstable Dependency,Newtonsoft.Json.Net20,Newtonsoft.Json.Utilities,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): hacs' agsXMPP.protocol.iq.privacy' Newtonsoft.Json.Serialization
God Component,Newtonsoft.Json.Net20,Newtonsoft.Json,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 42
God Component,Newtonsoft.Json.Net20,Newtonsoft.Json.Serialization,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
God Component,Newtonsoft.Json.Net20,Newtonsoft.Json.Utilities,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 32
Feature Concentration,Newtonsoft.Json.Net20,Newtonsoft.Json.Converters,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BinaryConverter]' [BsonObjectIdConverter]' [CustomCreationConverter]' [DataSetConverter' DataTableConverter]' [DateTimeConverterBase' IsoDateTimeConverter' JavaScriptDateTimeConverter]' [KeyValuePairConverter]' [RegexConverter]' [StringEnumConverter]' [VersionConverter]' [XmlDocumentWrapper' XmlElementWrapper' XmlNodeWrapper' IXmlDocument' IXmlElement' IXmlNode' XmlNodeConverter' XmlDeclarationWrapper' IXmlDeclaration]. LCC (Lack of Component Cohesion) = 0.48
Feature Concentration,Newtonsoft.Json.Net20,Newtonsoft.Json.Utilities,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Base64Encoder' ValidationUtils' DynamicReflectionDelegateFactory' ReflectionDelegateFactory' ReflectionUtils' LateBoundReflectionDelegateFactory' ConvertUtils' MiscellaneousUtils' IWrappedCollection' CollectionWrapper' CollectionUtils' ListWrapper' DateTimeUtils' IWrappedDictionary' DictionaryWrapper' EnumUtils' JavaScriptUtils' StringUtils' IWrappedList' MathUtils]' [DynamicWrapperBase' DynamicWrapper' WrapperMethodBuilder' WrapperDictionary]' [ILGeneratorExtensions]' [StringReference]' [ThreadSafeStore]' [BidirectionalDictionary]' [EnumValue' EnumValues]' [StringBuffer]' [TypeExtensions]. LCC (Lack of Component Cohesion) = 0.28
Scattered Functionality,Newtonsoft.Json.Net20,Newtonsoft.Json.Converters,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Newtonsoft.Json' Newtonsoft.Json.Serialization
Scattered Functionality,Newtonsoft.Json.Net20,Newtonsoft.Json.Serialization,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Newtonsoft.Json' Newtonsoft.Json.Linq
Scattered Functionality,Newtonsoft.Json.Net20,Newtonsoft.Json.Schema,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Newtonsoft.Json.Linq' Newtonsoft.Json
