Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MvvmCrossSample.iOS,LinkerPleaseInclude,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Portable\samples\MvvmCrossSample\MvvmCrossSample.iOS\LinkerPleaseInclude.cs,Include,The length of the statement  "			changed.CollectionChanged += (s' e) => { string test = string.Format("{0}{1}{2}{3}{4}"' e.Action' e.NewItems' e.NewStartingIndex' e.OldItems' e.OldStartingIndex); }; " is 165.
Long Statement,MvvmCrossSample.iOS.Views,MainView,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Portable\samples\MvvmCrossSample\MvvmCrossSample.iOS\Views\MainView.cs,Initialize,The length of the statement  "					new SimplePickerElement("User Gender"' null' null).Bind(this' "Value UserGender; Entries UserGender' Converter=EnumToEnumerable") " is 129.
