Implementation smell,Namespace,Class,File,Method,Description
Long Statement,FlurryAnalyticstvOSSample,AnalyticsViewController,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Flurry\samples\FlurryAnalyticstvOSSample\ViewControllers\AnalyticsViewController.cs,LoadView,The length of the statement  "				var alert = UIAlertController.Create ("Please Wait"' "Doing a longer running operation..."' UIAlertControllerStyle.Alert); " is 122.
Long Statement,FlurryAnalyticstvOSSample,AnalyticsViewController,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Flurry\samples\FlurryAnalyticstvOSSample\ViewControllers\AnalyticsViewController.cs,LoadView,The length of the statement  "				var alert = UIAlertController.Create ("Please Wait"' "Doing a longer running operation..."' UIAlertControllerStyle.Alert); " is 122.
Magic Number,FlurryAnalyticstvOSSample,AnalyticsViewController,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Flurry\samples\FlurryAnalyticstvOSSample\ViewControllers\AnalyticsViewController.cs,LoadView,The following statement contains a magic number: var errorElement = new StringElement ("Throw & Log Exception"' () => {  				try {  					throw new Exception ("Thar be dragons!");  				} catch (Exception ex) {  					FlurryAgent.LogError (ex.GetType ().Name' ex.Message' new NSError (NSError.CocoaErrorDomain' 3584));    					Debug.WriteLine ("Logged exception.");  				}  			});
Magic Number,FlurryAnalyticstvOSSample,AnalyticsViewController,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Flurry\samples\FlurryAnalyticstvOSSample\ViewControllers\AnalyticsViewController.cs,LoadView,The following statement contains a magic number: var timedEventElement = new StringElement ("Timed Event"' async () => {  				FlurryAgent.LogEvent ("TimedEvent"' true);  				var alert = UIAlertController.Create ("Please Wait"' "Doing a longer running operation..."' UIAlertControllerStyle.Alert);  				PresentViewController (alert' true' null);  				await Task.Delay (1000);  				FlurryAgent.EndTimedEvent ("TimedEvent");  				alert.DismissViewController (true' null);    				Debug.WriteLine ("Logged timed event.");  			});
Magic Number,FlurryAnalyticstvOSSample,AnalyticsViewController,D:\research\architectureSmells\repos\mattleibow_Flurry.Analytics\Flurry\samples\FlurryAnalyticstvOSSample\ViewControllers\AnalyticsViewController.cs,LoadView,The following statement contains a magic number: var timedParameterEventElement = new StringElement ("Timed Event with Parameters"' async () => {  				FlurryAgent.LogEvent ("TimedEventWithParameter"' GetParameter ()' true);  				var alert = UIAlertController.Create ("Please Wait"' "Doing a longer running operation..."' UIAlertControllerStyle.Alert);  				PresentViewController (alert' true' null);  				await Task.Delay (1000);  				FlurryAgent.EndTimedEvent ("TimedEventWithParameter");  				alert.DismissViewController (true' null);    				Debug.WriteLine ("Logged timed event with parameter.");  			});
