Implementation smell,Namespace,Class,File,Method,Description
Long Statement,DBCSFix,Program,C:\repos\DotNetOpenAuth_DotNetOpenAuth\tools\Sandcastle\Source\DBCSFix\Program.cs,Main,The length of the statement  "            programOptions.Add(new StringOption("d"' @"The directory containing CHM input files (e.g.' HHP file). For example' 'C:\DocProject\Output\Chm'. Default is the current directory.")); " is 180.
Long Statement,DBCSFix,Program,C:\repos\DotNetOpenAuth_DotNetOpenAuth\tools\Sandcastle\Source\DBCSFix\Program.cs,Main,The length of the statement  "            programOptions.Add(new StringOption("l"' @"The language code ID in decimal. For example' '1033'. Default is '1033' (for EN-US).")); " is 131.
Long Statement,DBCSFix,Program,C:\repos\DotNetOpenAuth_DotNetOpenAuth\tools\Sandcastle\Source\DBCSFix\Program.cs,substituteCodepages,The length of the statement  "            substitutionPatterns.Add(new Regex(@"CHARSET=UTF-8"' RegexOptions.Compiled | RegexOptions.IgnoreCase)' "CHARSET=" + encodingNameForLcid(lcid)); " is 143.
