Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ServiceControl.Transports.ASQ,Helper,C:\research\architectureSmells\repos\Particular_ServiceControl\src\ServiceControl.Transports.ASQ\Helper.cs,ApplyHacksForNsbRaw,The length of the statement  "            var ctor = typeof(MessageMetadataRegistry).GetConstructor(BindingFlags.NonPublic | BindingFlags.Public | BindingFlags.Instance' null' new[] {typeof(Func<Type' bool>)}' null); " is 174.
Empty Catch Block,ServiceControl.Transports.ASQ,QueueLengthProvider,C:\research\architectureSmells\repos\Particular_ServiceControl\src\ServiceControl.Transports.ASQ\QueueLengthProvider.cs,Start,The method has an empty catch block.
Empty Catch Block,ServiceControl.Transports.ASQ,QueueLengthProvider,C:\research\architectureSmells\repos\Particular_ServiceControl\src\ServiceControl.Transports.ASQ\QueueLengthProvider.cs,FetchLength,The method has an empty catch block.
Magic Number,ServiceControl.Transports.ASQ,BackwardsCompatibleQueueNameSanitizer,C:\research\architectureSmells\repos\Particular_ServiceControl\src\ServiceControl.Transports.ASQ\BackwardsCompatibleQueueNameSanitizer.cs,ShortenQueueNameIfNecessary,The following statement contains a magic number: queueName.Length <= 63
Magic Number,ServiceControl.Transports.ASQ,BackwardsCompatibleQueueNameSanitizer,C:\research\architectureSmells\repos\Particular_ServiceControl\src\ServiceControl.Transports.ASQ\BackwardsCompatibleQueueNameSanitizer.cs,ShortenQueueNameIfNecessary,The following statement contains a magic number: queueName = $"{queueName.Substring(0' 63 - shortenedName.Length - 1).Trim('-')}-{shortenedName}";
