Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/ModdingTools.JsonDataEditor2;component/mainwindow.xaml"' System.UriKind.Relative); " is 128.
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Magic Number,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
Missing Default,ModdingTools.JsonDataEditor2,MainWindow,C:\repos\Pulsar4xDevs_Pulsar4x\Pulsar4X\ModdingTools.JsonDataEditor2\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:                            #line 8 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.NewDataSet_Click);                            #line default              #line hidden              return;              case 2:              this.MI_SaveDataSet = ((System.Windows.Controls.MenuItem)(target));                            #line 10 "..\..\MainWindow.xaml"              this.MI_SaveDataSet.Click += new System.Windows.RoutedEventHandler(this.SaveDataSet_Click);                            #line default              #line hidden              return;              case 3:                            #line 11 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.LoadDataSet_Click);                            #line default              #line hidden              return;              case 4:                            #line 13 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.Exit_Click);                            #line default              #line hidden              return;              case 5:                            #line 19 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.About_Click);                            #line default              #line hidden              return;              case 6:                            #line 22 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.CurrentSDTest_Click);                            #line default              #line hidden              return;              case 7:                            #line 23 "..\..\MainWindow.xaml"              ((System.Windows.Controls.MenuItem)(target)).Click += new System.Windows.RoutedEventHandler(this.DataSetTest_Click);                            #line default              #line hidden              return;              }
