Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,WSO2BamRestApi,DataPublisher,C:\repos\wso2_bam-data-publishers\WCF\WSO2BamRestApi\DataPublisher.cs,sendHttpReq,The method has 5 parameters.
Long Statement,WSO2BamRestApi,DataPublisher,C:\repos\wso2_bam-data-publishers\WCF\WSO2BamRestApi\DataPublisher.cs,defineStream,The length of the statement  "	/*StreamReader response = new StreamReader(*/this.sendHttpReq (this.getStrDefUrl ()' this.username' this.password' RestApiProperties.DEFAULT_METHOD' streamDef)/*.GetResponseStream())*/; " is 185.
Long Statement,WSO2BamRestApi,DataPublisher,C:\repos\wso2_bam-data-publishers\WCF\WSO2BamRestApi\DataPublisher.cs,publish,The length of the statement  "	/*StreamReader response = new StreamReader(*/this.sendHttpReq (this.getSendEvntUrl (streamName' streamVersion)' this.username' this.password' RestApiProperties.DEFAULT_METHOD' events)/*.GetResponseStream())*/; " is 209.
Long Statement,WSO2BamRestApi,DataPublisher,C:\repos\wso2_bam-data-publishers\WCF\WSO2BamRestApi\DataPublisher.cs,getSendEvntUrl,The length of the statement  "	return this.url + RestApiProperties.STREAM_EXISTING_LOCATION + name + RestApiProperties.URI_FOLDERS_SEPERATOR + version + RestApiProperties.URI_FOLDERS_SEPERATOR; " is 162.
Long Statement,WSO2BamRestApi,DataPublisher,C:\repos\wso2_bam-data-publishers\WCF\WSO2BamRestApi\DataPublisher.cs,sendHttpReq,The length of the statement  "	httpWReq.Headers [RestApiProperties.AUTH_HEADER_NAME] = RestApiProperties.HEADER_VALUE_BEGINER + Convert.ToBase64String (Encoding.Default.GetBytes (username + RestApiProperties.USERNAME_PASSWORD_SEPERATOR + password)); " is 218.
