Method,LOC,CC,PC
ProcessApp:ShutdownProcess,12,2,0
ProcessApp:OnStopped,26,6,0
ProcessApp:Stop,3,1,0
ProcessApp:CollectStatus,9,3,0
AssemblyUpdatedRecycleTrigger:Initialize,11,3,1
AssemblyUpdatedRecycleTrigger:IsDeplayOverdue,5,2,1
AssemblyUpdatedRecycleTrigger:NeedBeRecycled,19,5,2
IRecycleTrigger:Initialize,0,1,1
IRecycleTrigger:NeedBeRecycled,0,1,2
MemoryRecycleTrigger:Initialize,5,2,1
MemoryRecycleTrigger:NeedBeRecycled,6,2,2
RecycleTriggerConfig:RecycleTriggerConfig,2,1,0
AppDomainBootstrap:AppDomainBootstrap,2,1,1
AppDomainBootstrap:CreateAppInstanceByMetadata,3,1,1
AppDomainApp:AppDomainApp,11,1,0
AppDomainApp:AppDomainApp,2,1,2
AppDomainApp:CreateHostAppDomain,28,3,0
AppDomainApp:CreateAndStartServerInstance,39,3,0
AppDomainApp:Stop,6,2,0
AppDomainApp:m_HostDomain_DomainUnload,4,1,2
AppDomainApp:CollectStatus,14,3,0
NRackService:NRackService,5,1,0
NRackService:OnStart,5,2,1
NRackService:OnStop,4,1,0
NRackService:OnShutdown,4,1,0
NRackService:Dispose,7,2,1
NRackService:InitializeComponent,3,1,0
NRackServiceInstaller:NRackServiceInstaller,18,3,0
NRackServiceInstaller:Dispose,7,2,1
NRackServiceInstaller:InitializeComponent,3,1,0
SelfInstaller:InstallMe,11,1,0
SelfInstaller:UninstallMe,11,1,0
PerformanceCounterInfo:GetDefaultPerformanceCounterDefinitions,26,1,0
ProcessPerformanceCounter:ProcessPerformanceCounter,2,1,2
ProcessPerformanceCounter:ProcessPerformanceCounter,9,2,3
ProcessPerformanceCounter:RegisterSameNameProcesses,7,2,1
ProcessPerformanceCounter:SameNameProcess_Exited,3,1,2
ProcessPerformanceCounter:SetupPerformanceCounters,7,2,0
ProcessPerformanceCounter:SetupPerformanceCounters,8,2,1
ProcessPerformanceCounter:GetPerformanceCounterInstanceName,29,4,1
ProcessPerformanceCounter:Collect,44,4,1
ProcessPerformanceCounter:Dispose,12,3,0
