Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Poderosa.Util,EnumListItem<T>,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\EnumDescription.cs,GetListItemsInternal,Cyclomatic complexity of the method is 9
Complex Method,Poderosa.Plugins,PluginManager,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Plugin.cs,Order,Cyclomatic complexity of the method is 12
Complex Method,Poderosa.Boot,PoderosaStartup,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,CreatePoderosaApplication,Cyclomatic complexity of the method is 8
Long Parameter List,Poderosa,Win32,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Win32.cs,TextOut,The method has 5 parameters. Parameters: hdc' x' y' text' length
Long Parameter List,Poderosa,Win32,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Win32.cs,ExtTextOut,The method has 8 parameters. Parameters: hdc' x' y' options' lprc' text' length' lpdx
Long Parameter List,Poderosa,Win32,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Win32.cs,EnumFontFamiliesEx,The method has 5 parameters. Parameters: hdc' lpLogfont' lpEnumFontFamExProc' lParam' dwFlags
Long Parameter List,Poderosa,Win32,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Win32.cs,ShellExecute,The method has 6 parameters. Parameters: hwnd' verb' file' param' dir' cmd
Long Parameter List,Poderosa.Boot,PoderosaStartupContext,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,PoderosaStartupContext,The method has 5 parameters. Parameters: pluginManifest' home_directory' profile_home' args' open_file
Long Parameter List,Poderosa.Boot,PoderosaStartupContext,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,PoderosaStartupContext,The method has 5 parameters. Parameters: pluginManifest' home_directory' preference' args' open_file
Long Statement,Poderosa,RuntimeUtil,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Util.cs,ReportException,The length of the statement  "                string msg = String.Format(InternalPoderosaWorld.Strings.GetString("Message.Util.InternalError")' errorfile' ex.Message); " is 121.
Long Statement,Poderosa.Plugins,PluginManager,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Plugin.cs,CreateExtensionPoint,The length of the statement  "                throw new InvalidOperationException(InternalPoderosaWorld.Strings.GetString("PluginManager.Messages.NewExtensionPointOutsideInit")); " is 132.
Long Statement,Poderosa.Plugins,PluginManager,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Plugin.cs,CreateExtensionPoint,The length of the statement  "                throw new ArgumentException(InternalPoderosaWorld.Strings.GetString("PluginManager.Messages.DuplicatedExtensionPointID")); " is 122.
Long Statement,Poderosa.Plugins,PluginManager,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Plugin.cs,EnumeratePlugins,The length of the statement  "            PluginDeclarationAttribute[] decls = (PluginDeclarationAttribute[])assembly.GetCustomAttributes(typeof(PluginDeclarationAttribute)' false); " is 139.
Long Statement,Poderosa.Boot,PoderosaStartup,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,CreatePoderosaApplication,The length of the statement  "            InternalPoderosaWorld w = new InternalPoderosaWorld(new PoderosaStartupContext(PluginManifest.CreateByText(plugin_manifest)' home_directory' preference_home' args' null)); " is 171.
Long Statement,Poderosa.Boot,PoderosaStartup,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,CreatePoderosaApplication,The length of the statement  "            InternalPoderosaWorld w = new InternalPoderosaWorld(new PoderosaStartupContext(PluginManifest.CreateByText(plugin_manifest)' home_directory' preference' args' null)); " is 166.
Long Statement,Poderosa.Boot,InternalPoderosaWorld,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaWorld.cs,RunRootExtensions,The length of the statement  "                        _startupContext.Tracer.Trace("PoderosaWorld.Messages.DuplicatedMessageLoopExtension"' message_loop.GetType().Name' extension.GetType().Name); " is 141.
Long Statement,Poderosa.Boot,InternalPoderosaWorld,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaWorld.cs,ReportBootError,The length of the statement  "            System.Windows.Forms.MessageBox.Show(bld.ToString()' "Poderosa"' System.Windows.Forms.MessageBoxButtons.OK' System.Windows.Forms.MessageBoxIcon.Error); " is 151.
Long Statement,Poderosa.Plugin.Remoting,PoderosaRemotingServiceHost,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\Remoting.cs,GetBaseAddress,The length of the statement  "            return "net.pipe://localhost/poderosa." + VersionInfo.PODEROSA_VERSION + "/" + processId.ToString(CultureInfo.InvariantCulture); " is 128.
Magic Number,Poderosa,PoderosaLog,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaLog.cs,PoderosaLog,The following statement contains a magic number: _capacity = 10000;
Magic Number,Poderosa,StringResourceDictionary,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\StringResource.cs,Add,The following statement contains a magic number: const int INITIAL_LIST_SIZE = 4;
Magic Number,Poderosa.Boot,PoderosaStartup,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,CreatePoderosaApplication,The following statement contains a magic number: switch (t) {                      case "-p":                      case "--profile":                          preference_home = ResolveProfileDirectory(v);                          i += 2;                          break;                      case "-a":                      case "--addasm":                          pm.AddAssembly(home_directory' v.Split(';'));                          i += 2;                          break;                      case "-r":                      case "--remasm":                          pm.RemoveAssembly(home_directory' v.Split(';'));                          i += 2;                          break;                      case "-open":                          open_file = v;                          i += 2;                          break;                      default:                          i++;                          break;                  }
Magic Number,Poderosa.Boot,PoderosaStartup,C:\research\architectureSmells\repos\poderosaproject_poderosa\Plugin\PoderosaStartup.cs,CreatePoderosaApplication,The following statement contains a magic number: switch (t) {                      case "-p":                      case "--profile":                          preference_home = ResolveProfileDirectory(v);                          i += 2;                          break;                      case "-a":                      case "--addasm":                          pm.AddAssembly(home_directory' v.Split(';'));                          i += 2;                          break;                      case "-r":                      case "--remasm":                          pm.RemoveAssembly(home_directory' v.Split(';'));                          i += 2;                          break;                      case "-open":                          open_file = v;                          i += 2;                          break;                      default:                          i++;                          break;                  }
