Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SampleAppForMongoDBQueryHelper,Program,D:\research\architectureSmells\repos\mikeckennedy_mongodb-query-helper-for-dotnet\src\SampleAppForMongoDBQueryHelper\Program.cs,ToStringAQuery,The following statement contains a magic number: var query =  				from p in mongo.People  				where p.Age > 20 && p.Name.Length >= 2  				orderby p.Age descending   				select p;
Magic Number,SampleAppForMongoDBQueryHelper,Program,D:\research\architectureSmells\repos\mikeckennedy_mongodb-query-helper-for-dotnet\src\SampleAppForMongoDBQueryHelper\Program.cs,ToStringAQuery,The following statement contains a magic number: var query =  				from p in mongo.People  				where p.Age > 20 && p.Name.Length >= 2  				orderby p.Age descending   				select p;
Magic Number,SampleAppForMongoDBQueryHelper,Program,D:\research\architectureSmells\repos\mikeckennedy_mongodb-query-helper-for-dotnet\src\SampleAppForMongoDBQueryHelper\Program.cs,ExplainQuery,The following statement contains a magic number: var query =  				from p in mongo.People  				where p.Age > 20 && p.Name.Length >= 2  				orderby p.Age descending  				select p;
Magic Number,SampleAppForMongoDBQueryHelper,Program,D:\research\architectureSmells\repos\mikeckennedy_mongodb-query-helper-for-dotnet\src\SampleAppForMongoDBQueryHelper\Program.cs,ExplainQuery,The following statement contains a magic number: var query =  				from p in mongo.People  				where p.Age > 20 && p.Name.Length >= 2  				orderby p.Age descending  				select p;
