Architecture smell,Project,Namespace,Cause
Feature Concentration,uhttpsharp.Demo,uhttpsharpdemo.Controllers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EmptyPipeline]' [JsonController]' [MyController]' [MyRequest]' [BaseController' DerivedController]. LCC (Lack of Component Cohesion) = 0.83
Feature Concentration,uhttpsharp.Demo,uhttpsharpdemo,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HttpException' StringsRestController]' [Program]' [MySuperHandler]' [MyModel' MyHandler]' [SessionHandler]' [SomeRestController]. LCC (Lack of Component Cohesion) = 0.75
