Implementation smell,Namespace,Class,File,Method,Description
Magic Number,RedisAdminUI.ServiceModel.Types,KeyValuePair,C:\repos\ServiceStackApps_RedisAdminUI\src\RedisAdminUI.ServiceModel\Types\KeyValuePair.cs,GetHashCode,The following statement contains a magic number: unchecked  			{  				return ((Key != null ? Key.GetHashCode() : 0)*397) ^ (Value != null ? Value.GetHashCode() : 0);  			}
Magic Number,RedisAdminUI.ServiceModel.Types,ItemWithScore,C:\repos\ServiceStackApps_RedisAdminUI\src\RedisAdminUI.ServiceModel\Types\ItemWithScore.cs,GetHashCode,The following statement contains a magic number: unchecked  			{  				return ((Item != null ? Item.GetHashCode() : 0)*397) ^ Score.GetHashCode();  			}
