Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ByteProgressionEventArgs,2,1,2,0,1,37,3,0,1,1,1,3
FileSystemEventArgs,3,1,3,0,1,41,1,4,0,1,1,1
ItemExceptionEventArgs,2,1,2,0,1,31,1,1,1,1,1,3
ItemProgressionEventArgs,1,1,1,0,1,18,2,0,1,1,1,3
PathExceptionEventArgs,1,1,1,0,1,32,1,0,2,1,0,3
ScanningFolderEventArgs,0,1,0,0,1,8,1,0,1,0,0,3
AbstractFile,3,24,3,2,16,373,61,4,1,1,11,6
AbstractFolder,1,35,2,0,23,761,142,4,1,1,15,4
IBatchUpdateable,0,4,0,0,0,9,4,0,0,0,1,1
AutoBatchUpdate,3,3,0,0,2,37,8,0,0,1,2,3
DiskFile,15,14,13,0,4,572,50,0,2,1,15,1
DiskFolder,12,12,10,0,3,622,48,0,2,1,14,1
EmptyFileSystemEvents,0,8,4,0,4,50,9,0,1,0,6,1
FileSystemException,1,4,2,0,4,46,4,8,0,1,1,9
FileSystemInternalException,1,8,0,0,8,30,8,0,1,1,1,12
FileSystemIOException,1,3,0,0,3,15,3,0,1,1,1,6
FileSystemNotSupportedException,1,4,0,0,4,18,4,0,1,1,1,5
InvalidCharacterInPathException,3,4,4,0,4,72,5,0,1,1,1,3
ItemAlreadyExistsException,1,4,0,0,4,18,4,0,1,1,1,10
ItemDoesNotExistException,1,4,0,0,4,18,4,0,1,1,1,10
ItemIsReadOnlyException,1,4,0,0,4,18,4,0,1,1,1,7
ItemIsRootFolderException,1,4,0,0,4,18,4,0,1,1,1,1
FileSystemEvents,2,10,7,0,3,114,18,1,0,1,8,8
FileSystemEventsSession,16,16,5,0,12,369,59,0,0,1,14,13
FileSystemItem,2,40,30,2,14,1025,126,2,0,0,13,30
FilterScope,0,0,0,0,0,13,0,0,0,0,0,7
FilterResult,0,0,0,0,0,8,0,0,0,0,0,4
Filter,1,10,1,0,7,174,40,7,0,1,7,6
AndFilter,1,2,2,0,2,44,3,0,1,1,4,0
AttributeFilter,1,3,1,0,3,34,4,0,1,1,2,1
DateTimeFilter,3,5,3,0,5,76,9,0,1,1,2,0
NameFilter,2,3,2,0,3,57,9,0,1,1,3,1
NotFilter,1,3,2,0,3,48,6,0,1,1,3,0
OrFilter,1,2,2,0,2,46,4,0,1,1,4,0
SizeFilter,2,2,2,0,2,38,3,0,1,1,3,0
IsolatedFile,3,9,15,0,2,283,28,0,2,1,10,1
IsolatedFolder,3,9,14,0,2,255,22,0,2,1,9,1
ItemExceptionAction,0,0,0,0,0,8,0,0,0,0,0,6
ItemPair,2,1,0,2,1,12,1,0,0,1,1,2
Licenser,1,0,1,0,0,18,0,0,0,0,0,0
MemoryFile,2,13,11,0,5,287,35,0,2,1,12,1
MemoryFileHandler,3,8,3,0,7,168,23,0,1,1,2,3
MemoryFolder,2,13,10,0,4,260,31,0,2,1,15,0
MemoryFolderHandler,2,12,1,0,7,198,36,1,1,1,5,3
MemoryHandler,11,4,9,4,4,118,5,2,0,1,2,2
MemoryRootHandler,3,7,3,0,5,155,12,0,2,1,1,2
ProgressionInfo,2,1,3,0,1,35,1,0,0,1,0,3
SingleFileFolder,4,9,11,0,2,263,11,0,2,1,5,1
StreamFile,9,10,11,0,3,231,33,0,2,1,9,0
XceedEnvironment,0,1,1,0,0,15,1,0,0,0,0,0
ExceptionFilter,0,1,0,0,1,22,1,0,0,0,0,0
ThrowException,0,4,0,0,3,41,4,0,0,0,0,6
FileMatching,0,2,0,0,1,65,23,0,0,0,1,1
Path,6,4,0,6,4,135,12,0,0,0,0,8
IPassThroughStream,0,0,1,0,0,6,0,1,0,0,0,1
PassThroughStream,0,1,0,0,1,23,3,0,0,0,1,0
ITransientStream,0,0,1,0,0,7,0,1,0,0,0,0
MemoryHandlerStream,4,11,5,0,8,134,20,0,0,1,0,2
WindowStream,7,17,7,0,12,330,68,0,1,1,1,1
StringCheck,0,1,0,0,1,9,1,0,0,0,0,4
