Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,content_AfterUpdateDocumentCache,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.documentItemProviderGuid); " is 132.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,content_AfterUpdateDocumentCache,The length of the statement  "            //ItemIdentifier propertyId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.propertyDataItemProviderGuid); " is 142.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Document_AfterUnPublish,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.documentItemProviderGuid); " is 132.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Document_AfterUnPublish,The length of the statement  "            ItemIdentifier propertyId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.propertyDataItemProviderGuid); " is 140.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Language_AfterDelete,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.CultureAlias' ItemProviders.ProviderIDCollection.languageItemProviderGuid); " is 125.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,DocumentType_AfterDelete,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.Alias' ItemProviders.ProviderIDCollection.documentTypeItemProviderGuid); " is 122.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Media_AfterDelete,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.mediaItemProviderGuid); " is 129.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Media_AfterDelete,The length of the statement  "            ItemIdentifier propertyId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.mediapropertyDataItemProviderGuid); " is 145.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Media_AfterMoveToTrash,The length of the statement  "            ItemIdentifier itemId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.mediaItemProviderGuid); " is 129.
Long Statement,Umbraco.Courier.Cachehandler.V4,CacheHandler,C:\repos\umbraco_Courier\Providers\Umbraco.Courier.CacheHandler.V4\Cachehandlers\CacheHandler.cs,Media_AfterMoveToTrash,The length of the statement  "            ItemIdentifier propertyId = new ItemIdentifier(sender.UniqueId.ToString()' ItemProviders.ProviderIDCollection.mediapropertyDataItemProviderGuid); " is 145.
