Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.Element,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Element' EvilDICOM.Core.Helpers' EvilDICOM.Core.Dictionaries' EvilDICOM.Core.IO.Reading' EvilDICOM.Core.IO.Data,EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.Helpers.SOPClassHelper' EvilDICOM.Core.Helpers.TagHelper' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Helpers.TransferSyntaxHelper' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.IO.Reading.DataReader' EvilDICOM.Core.IO.Reading.DICOMElementReader' EvilDICOM.Core.IO.Reading.SequenceItemReader' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.Helpers,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Helpers' EvilDICOM.Core.Element,EvilDICOM.Core.Helpers.SOPClassHelper' EvilDICOM.Core.Helpers.TagHelper' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Helpers.TransferSyntaxHelper' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.Helpers,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Helpers' EvilDICOM.Core.Dictionaries' EvilDICOM.Core.Element,EvilDICOM.Core.Helpers.SOPClassHelper' EvilDICOM.Core.Helpers.TagHelper' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Helpers.TransferSyntaxHelper' EvilDICOM.Core.Dictionaries.TagDictionary' EvilDICOM.Core.Dictionaries.VRDictionary' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.Helpers,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.Helpers' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.Helpers.SOPClassHelper' EvilDICOM.Core.Helpers.TagHelper' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Helpers.TransferSyntaxHelper' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.IO.Reading,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.IO.Reading' EvilDICOM.Core.Element,EvilDICOM.Core.IO.Reading.DataReader' EvilDICOM.Core.IO.Reading.DICOMElementReader' EvilDICOM.Core.IO.Reading.SequenceItemReader' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.IO.Writing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.IO.Writing' EvilDICOM.Core.IO.Data,EvilDICOM.Core.IO.Writing.DataWriter' EvilDICOM.Core.IO.Writing.DICOMElementWriter' EvilDICOM.Core.IO.Writing.DICOMFileWriter' EvilDICOM.Core.IO.Writing.DICOMObjectWriter' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.IO.Writing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.IO.Writing' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element,EvilDICOM.Core.IO.Writing.DataWriter' EvilDICOM.Core.IO.Writing.DICOMElementWriter' EvilDICOM.Core.IO.Writing.DICOMFileWriter' EvilDICOM.Core.IO.Writing.DICOMObjectWriter' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.IO.Writing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.IO.Writing' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Data,EvilDICOM.Core.IO.Writing.DataWriter' EvilDICOM.Core.IO.Writing.DICOMElementWriter' EvilDICOM.Core.IO.Writing.DICOMFileWriter' EvilDICOM.Core.IO.Writing.DICOMObjectWriter' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory
Cyclic Dependency,CodeGenerator,EvilDICOM.Core.IO.Writing,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: EvilDICOM.Core.IO.Writing' EvilDICOM.Core.IO.Data' EvilDICOM.Core.Element' EvilDICOM.Core.IO.Reading' EvilDICOM.Core.IO.Data,EvilDICOM.Core.IO.Writing.DataWriter' EvilDICOM.Core.IO.Writing.DICOMElementWriter' EvilDICOM.Core.IO.Writing.DICOMFileWriter' EvilDICOM.Core.IO.Writing.DICOMObjectWriter' EvilDICOM.Core.IO.Data.BigEndianReader' EvilDICOM.Core.IO.Data.BigEndianWriter' EvilDICOM.Core.IO.Data.DataComposer' EvilDICOM.Core.IO.Data.DataRestriction' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.Tag' EvilDICOM.Core.Element.Unknown' EvilDICOM.Core.Element.ElementFactory' EvilDICOM.Core.IO.Reading.DataReader' EvilDICOM.Core.IO.Reading.DICOMElementReader' EvilDICOM.Core.IO.Reading.SequenceItemReader
Unstable Dependency,CodeGenerator,EvilDICOM.Core,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): EvilDICOM.Core.Element,EvilDICOM.Core.Tag' EvilDICOM.Core.Unknown' EvilDICOM.Core.Sequence
Unstable Dependency,CodeGenerator,EvilDICOM.Core.Dictionaries,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): EvilDICOM.Core.Element' EvilDICOM.Core.Helpers,EvilDICOM.Core.Dictionaries.Tag' EvilDICOM.Core.Dictionaries.EnumHelper
Unstable Dependency,CodeGenerator,EvilDICOM.Core.Element,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): EvilDICOM.Core.IO.Data' EvilDICOM.Core.IO.Reading,EvilDICOM.Core.Element.DataRestriction' EvilDICOM.Core.Element.BigEndianReader' EvilDICOM.Core.Element.LittleEndianReader' EvilDICOM.Core.Element.SequenceReader' EvilDICOM.Core.Element.StringDataParser' EvilDICOM.Core.Element.DICOMString
Unstable Dependency,CodeGenerator,EvilDICOM.Core.Helpers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): EvilDICOM.Core.Element,EvilDICOM.Core.Helpers.Tag' EvilDICOM.Core.Helpers.UniqueIdentifier
Unstable Dependency,CodeGenerator,EvilDICOM.Core.IO.Writing,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): EvilDICOM.Core.IO.Data,EvilDICOM.Core.IO.Writing.DataComposer
God Component,CodeGenerator,EvilDICOM.Core.Element,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 36,EvilDICOM.Core.Element.Age' EvilDICOM.Core.Element.Unit' EvilDICOM.Core.Element.AgeString' EvilDICOM.Core.Element.ApplicationEntity' EvilDICOM.Core.Element.AttributeTag' EvilDICOM.Core.Element.CodeString' EvilDICOM.Core.Element.LongString
Feature Concentration,CodeGenerator,EvilDICOM.Core.Enums,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LogPriority]' [Priority]' [SOPClass]' [TransferSyntax]' [VR]' [VREncoding]. LCC (Lack of Component Cohesion) = 1,EvilDICOM.Core.Enums.Priority' EvilDICOM.Core.Enums.SOPClass' EvilDICOM.Core.Enums.TransferSyntax' EvilDICOM.Core.Enums.VR' EvilDICOM.Core.Enums.VREncoding
Feature Concentration,CodeGenerator,EvilDICOM.Core.Extensions,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ByteExtensions]' [DICOMObjectExtensions]' [IDICOMElementExtensions]' [IDICOMElementListExtensions]' [StringExtensions]' [XElementExtensions]. LCC (Lack of Component Cohesion) = 1,EvilDICOM.Core.Extensions.DICOMObjectExtensions' EvilDICOM.Core.Extensions.IDICOMElementExtensions' EvilDICOM.Core.Extensions.IDICOMElementListExtensions' EvilDICOM.Core.Extensions.StringExtensions' EvilDICOM.Core.Extensions.XElementExtensions
Feature Concentration,CodeGenerator,EvilDICOM.Core.Helpers,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractSyntax' SOPClassHelper]' [ArrayHelper]' [ByteHelper' TagSorter]' [Constants]' [DoubleHelper]' [EnumHelper]' [ExceptionHelper]' [PersonNameHelper]' [TagHelper]' [TransferSyntaxHelper]' [UIDHelper]' [ISO3166Helper]' [Vector3]. LCC (Lack of Component Cohesion) = 0.87,EvilDICOM.Core.Helpers.ByteHelper' EvilDICOM.Core.Helpers.TagSorter' EvilDICOM.Core.Helpers.ArrayHelper' EvilDICOM.Core.Helpers.Constants' EvilDICOM.Core.Helpers.DoubleHelper' EvilDICOM.Core.Helpers.EnumHelper' EvilDICOM.Core.Helpers.ExceptionHelper' EvilDICOM.Core.Helpers.PersonNameHelper' EvilDICOM.Core.Helpers.TagHelper' EvilDICOM.Core.Helpers.TransferSyntaxHelper' EvilDICOM.Core.Helpers.UIDHelper' EvilDICOM.Core.Helpers.ISO3166Helper' EvilDICOM.Core.Helpers.Vector3
Feature Concentration,CodeGenerator,EvilDICOM.Core.IO.Data,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractBinaryDataReader' BigEndianReader' LittleEndianReader' MultiplicityReader]' [BigEndianWriter' DataComposer' DataRestriction' LittleEndianWriter' MultiplicityComposer' StringDataComposer' DataPadder]' [DICOMString]' [StringDataParser]. LCC (Lack of Component Cohesion) = 0.31,EvilDICOM.Core.IO.Data.DICOMString' EvilDICOM.Core.IO.Data.StringDataParser
