Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SimpleTable,Program,F:\newReposMay17\Lokad_lokad-cloud\Samples\Source\SimpleTable\Program.cs,Main,The length of the statement  "	var tableStorage = CloudStorage.ForAzureConnectionString ("DefaultEndpointsProtocol=https;AccountName=YOURACCOUNT;AccountKey=YOURKEY").BuildTableStorage (); " is 156.
Long Statement,SimpleTable,Program,F:\newReposMay17\Lokad_lokad-cloud\Samples\Source\SimpleTable\Program.cs,Main,The length of the statement  "		Console.WriteLine ("{0} by {1} in partition '{2}' and rowkey '{3}'"' entity.Value.Title' entity.Value.Author' entity.PartitionKey' entity.RowKey); " is 146.
