Implementation smell,Namespace,Class,File,Method,Description
Magic Number,TimesSquareiOSSample,TSQTAViewController,C:\repos\mono_monotouch-bindings\TimesSquare\samples\TimesSquareiOSSample\TimesSquareiOSSample\TSQTAViewController.cs,LoadView,The following statement contains a magic number: var calendarView = new TSQCalendarView () {  				Calendar = Calendar'  				RowCellClass = new MonoTouch.ObjCRuntime.Class ("TSQTACalendarRowCell")'  				FirstDate = NSDate.Now'  				LastDate = NSDate.FromTimeIntervalSinceNow (60 * 60 * 24 * 365 * 5)'  				BackgroundColor = UIColor.FromRGBA (0.84f' 0.85f' 0.86f' 1.0f)'  				PagingEnabled = true'  				ContentInset = new UIEdgeInsets (0.0f' onePixel' 0.0f' onePixel)  			};
Magic Number,TimesSquareiOSSample,TSQTAViewController,C:\repos\mono_monotouch-bindings\TimesSquare\samples\TimesSquareiOSSample\TimesSquareiOSSample\TSQTAViewController.cs,LoadView,The following statement contains a magic number: var calendarView = new TSQCalendarView () {  				Calendar = Calendar'  				RowCellClass = new MonoTouch.ObjCRuntime.Class ("TSQTACalendarRowCell")'  				FirstDate = NSDate.Now'  				LastDate = NSDate.FromTimeIntervalSinceNow (60 * 60 * 24 * 365 * 5)'  				BackgroundColor = UIColor.FromRGBA (0.84f' 0.85f' 0.86f' 1.0f)'  				PagingEnabled = true'  				ContentInset = new UIEdgeInsets (0.0f' onePixel' 0.0f' onePixel)  			};
Magic Number,TimesSquareiOSSample,TSQTAViewController,C:\repos\mono_monotouch-bindings\TimesSquare\samples\TimesSquareiOSSample\TimesSquareiOSSample\TSQTAViewController.cs,LoadView,The following statement contains a magic number: var calendarView = new TSQCalendarView () {  				Calendar = Calendar'  				RowCellClass = new MonoTouch.ObjCRuntime.Class ("TSQTACalendarRowCell")'  				FirstDate = NSDate.Now'  				LastDate = NSDate.FromTimeIntervalSinceNow (60 * 60 * 24 * 365 * 5)'  				BackgroundColor = UIColor.FromRGBA (0.84f' 0.85f' 0.86f' 1.0f)'  				PagingEnabled = true'  				ContentInset = new UIEdgeInsets (0.0f' onePixel' 0.0f' onePixel)  			};
Magic Number,TimesSquareiOSSample,TSQTAViewController,C:\repos\mono_monotouch-bindings\TimesSquare\samples\TimesSquareiOSSample\TimesSquareiOSSample\TSQTAViewController.cs,LoadView,The following statement contains a magic number: var calendarView = new TSQCalendarView () {  				Calendar = Calendar'  				RowCellClass = new MonoTouch.ObjCRuntime.Class ("TSQTACalendarRowCell")'  				FirstDate = NSDate.Now'  				LastDate = NSDate.FromTimeIntervalSinceNow (60 * 60 * 24 * 365 * 5)'  				BackgroundColor = UIColor.FromRGBA (0.84f' 0.85f' 0.86f' 1.0f)'  				PagingEnabled = true'  				ContentInset = new UIEdgeInsets (0.0f' onePixel' 0.0f' onePixel)  			};
Magic Number,TimesSquareiOSSample,TSQTAViewController,C:\repos\mono_monotouch-bindings\TimesSquare\samples\TimesSquareiOSSample\TimesSquareiOSSample\TSQTAViewController.cs,LoadView,The following statement contains a magic number: var calendarView = new TSQCalendarView () {  				Calendar = Calendar'  				RowCellClass = new MonoTouch.ObjCRuntime.Class ("TSQTACalendarRowCell")'  				FirstDate = NSDate.Now'  				LastDate = NSDate.FromTimeIntervalSinceNow (60 * 60 * 24 * 365 * 5)'  				BackgroundColor = UIColor.FromRGBA (0.84f' 0.85f' 0.86f' 1.0f)'  				PagingEnabled = true'  				ContentInset = new UIEdgeInsets (0.0f' onePixel' 0.0f' onePixel)  			};
