Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Box.V2.Samples.JWTAuth,Program,C:\repos\box_box-windows-sdk-v2\Box.V2.Samples.JWTAuth\Program.cs,MainAsync,The length of the statement  "            var boxConfig = new BoxConfig(CLIENT_ID' CLIENT_SECRET' ENTERPRISE_ID' privateKey' JWT_PRIVATE_KEY_PASSWORD' JWT_PUBLIC_KEY_ID); " is 128.
Magic Number,Box.V2.Samples.JWTAuth,Program,C:\repos\box_box-windows-sdk-v2\Box.V2.Samples.JWTAuth\Program.cs,MainAsync,The following statement contains a magic number: var items = await adminClient.FoldersManager.GetFolderItemsAsync("0"' 500);
