Implementation smell,Namespace,Class,File,Method,Description
Long Statement,unBand.CargoClientEditor,CargoDll,C:\repos\nachmore_unBand\src\unBand.CargoClientEditor\CargoDll.cs,GetOfficialBandDllPath,The length of the statement  "            throw new FileNotFoundException("Could not find Band Sync app on your machine. I looked in:\n\n" + string.Join("\n"' dllLocations) + "\n\nExtra errors:\n" + errors); " is 165.
Long Statement,unBand.CargoClientEditor,CargoDll,C:\repos\nachmore_unBand\src\unBand.CargoClientEditor\CargoDll.cs,GetDllLocationFromRegistry,The length of the statement  "            string regKeyName = @"SOFTWARE\MICROSOFT\Windows\CurrentVersion\Installer\UserData\" + sid + @"\Components\23439AC101C46D55BBCE6A082085E137"; " is 141.
