Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Builders,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Builders' NUnit.Framework' NUnit.Framework.Internal,NUnit.Framework.Internal.Builders.CombinatorialStrategy' NUnit.Framework.Internal.Builders.DatapointProvider' NUnit.Framework.Internal.Builders.DefaultSuiteBuilder' NUnit.Framework.Internal.Builders.NUnitTestCaseBuilder' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Builders,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Builders' NUnit.Framework' NUnit.Framework.Interfaces' NUnit.Framework.Internal,NUnit.Framework.Internal.Builders.CombinatorialStrategy' NUnit.Framework.Internal.Builders.DatapointProvider' NUnit.Framework.Internal.Builders.DefaultSuiteBuilder' NUnit.Framework.Internal.Builders.NUnitTestCaseBuilder' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Builders,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Builders' NUnit.Framework' NUnit.Framework.Internal' NUnit.Framework.Interfaces' NUnit.Framework.Internal,NUnit.Framework.Internal.Builders.CombinatorialStrategy' NUnit.Framework.Internal.Builders.DatapointProvider' NUnit.Framework.Internal.Builders.DefaultSuiteBuilder' NUnit.Framework.Internal.Builders.NUnitTestCaseBuilder' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Commands,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Commands,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Commands' NUnit.Framework' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Commands,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Commands' NUnit.Framework' NUnit.Framework.Interfaces' NUnit.Framework.Internal' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Execution,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Execution' NUnit.Framework.Internal.Commands,NUnit.Framework.Internal.Execution.CommandBuilder' NUnit.Framework.Internal.Execution.CompositeWorkItem' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Execution,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Execution' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Execution.CommandBuilder' NUnit.Framework.Internal.Execution.CompositeWorkItem' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Execution,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Execution' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces' NUnit.Framework.Internal.Commands,NUnit.Framework.Internal.Execution.CommandBuilder' NUnit.Framework.Internal.Execution.CompositeWorkItem' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Execution,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Execution' NUnit.Framework.Internal.Commands' NUnit.Framework' NUnit.Framework.Interfaces' NUnit.Framework.Internal.Commands,NUnit.Framework.Internal.Execution.CommandBuilder' NUnit.Framework.Internal.Execution.CompositeWorkItem' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Assert' NUnit.Framework.CategoryAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.TestCaseSourceAttribute' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Filters,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Filters' NUnit.Framework.Internal,NUnit.Framework.Internal.Filters.AndFilter' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Filters,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Filters' NUnit.Framework.Internal' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Filters.AndFilter' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Filters,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Filters' NUnit.Framework.Internal' NUnit.Framework.Internal.Commands' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Filters.AndFilter' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Internal.Commands.ApplyChangesToContextCommand' NUnit.Framework.Internal.Commands.SetUpTearDownCommand' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Cyclic Dependency,nunit.framework-portable,NUnit.Framework.Internal.Filters,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: NUnit.Framework.Internal.Filters' NUnit.Framework.Internal' NUnit.Framework.Interfaces' NUnit.Framework.Internal' NUnit.Framework.Interfaces,NUnit.Framework.Internal.Filters.AndFilter' NUnit.Framework.Internal.ActionsHelper' NUnit.Framework.Internal.AsyncTaskInvocationRegion' NUnit.Framework.Internal.ExceptionHelper' NUnit.Framework.Internal.TextMessageWriter' NUnit.Framework.Internal.TestFilter' NUnit.Framework.Internal.TestSuite' NUnit.Framework.Interfaces.IApplyToContext' NUnit.Framework.Interfaces.ICommandWrapper' NUnit.Framework.Interfaces.ITypeInfo' NUnit.Framework.Interfaces.TNode
Unstable Dependency,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): NUnit.Framework.Internal.Builders' NUnit.Framework.Internal.Commands,NUnit.Framework.NUnitTestCaseBuilder' NUnit.Framework.MaxTimeCommand' NUnit.Framework.TestCommand' NUnit.Framework.NUnitTestFixtureBuilder
Unstable Dependency,nunit.framework-portable,NUnit.Framework.Constraints,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): NUnit.Framework,NUnit.Framework.Constraints.Guard' NUnit.Framework.Constraints.Has' NUnit.Framework.Constraints.GlobalSettings
Unstable Dependency,nunit.framework-portable,NUnit.Framework.Interfaces,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): NUnit.Framework.Internal' NUnit.Framework.Internal.Commands' NUnit.Framework,NUnit.Framework.Interfaces.TestExecutionContext' NUnit.Framework.Interfaces.Test' NUnit.Framework.Interfaces.TestCommand' NUnit.Framework.Interfaces.Guard
Unstable Dependency,nunit.framework-portable,NUnit.Framework.Internal,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): NUnit.Framework' NUnit.Framework.Constraints' NUnit.Framework.Internal.Filters,NUnit.Framework.Internal.ITestAction' NUnit.Framework.Internal.ActionTargets' NUnit.Framework.Internal.CultureAttribute' NUnit.Framework.Internal.MsgUtils' NUnit.Framework.Internal.ConstraintResult' NUnit.Framework.Internal.Tolerance' NUnit.Framework.Internal.ToleranceMode' NUnit.Framework.Internal.Guard' NUnit.Framework.Internal.ResultStateException' NUnit.Framework.Internal.AndFilter' NUnit.Framework.Internal.OrFilter' NUnit.Framework.Internal.NotFilter' NUnit.Framework.Internal.IdFilter' NUnit.Framework.Internal.FullNameFilter' NUnit.Framework.Internal.TestNameFilter' NUnit.Framework.Internal.MethodNameFilter' NUnit.Framework.Internal.ClassNameFilter' NUnit.Framework.Internal.CategoryFilter' NUnit.Framework.Internal.PropertyFilter' NUnit.Framework.Internal.OneTimeSetUpAttribute' NUnit.Framework.Internal.OneTimeTearDownAttribute' NUnit.Framework.Internal.SetUpAttribute' NUnit.Framework.Internal.TearDownAttribute
Unstable Dependency,nunit.framework-portable,NUnit.Framework.Internal.Commands,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): NUnit.Framework.Internal.Execution,NUnit.Framework.Internal.Commands.CommandBuilder
God Component,nunit.framework-portable,NUnit.Framework,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 93,NUnit.Framework.ActionTargets' NUnit.Framework.DatapointAttribute' NUnit.Framework.DatapointsAttribute' NUnit.Framework.DatapointSourceAttribute' NUnit.Framework.TestAssemblyDirectoryResolveAttribute' NUnit.Framework.OneTimeSetUpAttribute' NUnit.Framework.OneTimeTearDownAttribute' NUnit.Framework.ParallelScope' NUnit.Framework.SetUpAttribute' NUnit.Framework.PreTestAttribute' NUnit.Framework.PostTestAttribute' NUnit.Framework.TearDownAttribute' NUnit.Framework.TestFixtureSetUpAttribute' NUnit.Framework.TestFixtureTearDownAttribute' NUnit.Framework.GlobalSettings' NUnit.Framework.Iz' NUnit.Framework.SpecialValue' NUnit.Framework.CombinatorialAttribute' NUnit.Framework.DataAttribute' NUnit.Framework.DescriptionAttribute' NUnit.Framework.SingleThreadedAttribute' NUnit.Framework.LevelOfParallelismAttribute' NUnit.Framework.NUnitAttribute' NUnit.Framework.PairwiseAttribute' NUnit.Framework.RandomDataSource' NUnit.Framework.SequentialAttribute' NUnit.Framework.TheoryAttribute' NUnit.Framework.List' NUnit.Framework.TestAdapter' NUnit.Framework.ResultAdapter' NUnit.Framework.AuthorAttribute' NUnit.Framework.IgnoreAttribute' NUnit.Framework.IncludeExcludeAttribute' NUnit.Framework.MaxTimeAttribute' NUnit.Framework.OrderAttribute' NUnit.Framework.RandomDataConverter' NUnit.Framework.EnumDataSource' NUnit.Framework.RepeatAttribute' NUnit.Framework.RepeatedTestCommand' NUnit.Framework.RetryAttribute' NUnit.Framework.RetryCommand' NUnit.Framework.SetUpFixtureAttribute' NUnit.Framework.TestActionAttribute' NUnit.Framework.TestAttribute' NUnit.Framework.TestOfAttribute' NUnit.Framework.AssertionException' NUnit.Framework.IgnoreException' NUnit.Framework.InconclusiveException' NUnit.Framework.ResultStateException' NUnit.Framework.SuccessException' NUnit.Framework.ITestAction' NUnit.Framework.ListMapper' NUnit.Framework.CategoryAttribute' NUnit.Framework.ExplicitAttribute' NUnit.Framework.ParallelizableAttribute' NUnit.Framework.TestFixtureAttribute' NUnit.Framework.CombiningStrategyAttribute' NUnit.Framework.IntDataSource' NUnit.Framework.UIntDataSource' NUnit.Framework.LongDataSource' NUnit.Framework.ULongDataSource' NUnit.Framework.ShortDataSource' NUnit.Framework.UShortDataSource' NUnit.Framework.DoubleDataSource
