Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SyncProject2,Program,C:\repos\msgpack_msgpack-cli\tools\SyncProjects2\SyncProjects2\Program.cs,Main,The length of the statement  "				var msbuildExtensionsPath = Environment.ExpandEnvironmentVariables( @"%ProgramFiles(x86)%\Microsoft Visual Studio\2017\Enterprise\MSBuild" ); " is 141.
Long Statement,SyncProject2,Program,C:\repos\msgpack_msgpack-cli\tools\SyncProjects2\SyncProjects2\Program.cs,Main,The length of the statement  "						{ "s|src="' "File path to base directory of source tree. Default: src" + Path.DirectorySeparatorChar' v => sourceBasePath = v }' " is 128.
Long Statement,SyncProject2,Program,C:\repos\msgpack_msgpack-cli\tools\SyncProjects2\SyncProjects2\Program.cs,Main,The length of the statement  "						{ "msbuild-ext-path="' "Specify MSBuild extensions path. Default is <VSInstallDir>\\MSBuild."' v => msbuildExtensionsPath = v }' " is 128.
