Implementation smell,Namespace,Class,File,Method,Description
Magic Number,iOSNuGetTest,MyViewController,D:\research\architectureSmells\repos\mattleibow_Mono.Data.Sqlite\NuGetTestApps\iOSNuGetTest\MyViewController.cs,ViewDidLoad,The following statement contains a magic number: button.Frame = new RectangleF(  				View.Frame.Width / 2 - buttonWidth / 2'  				View.Frame.Height / 2 - buttonHeight / 2'  				buttonWidth'  				buttonHeight);
Magic Number,iOSNuGetTest,MyViewController,D:\research\architectureSmells\repos\mattleibow_Mono.Data.Sqlite\NuGetTestApps\iOSNuGetTest\MyViewController.cs,ViewDidLoad,The following statement contains a magic number: button.Frame = new RectangleF(  				View.Frame.Width / 2 - buttonWidth / 2'  				View.Frame.Height / 2 - buttonHeight / 2'  				buttonWidth'  				buttonHeight);
Magic Number,iOSNuGetTest,MyViewController,D:\research\architectureSmells\repos\mattleibow_Mono.Data.Sqlite\NuGetTestApps\iOSNuGetTest\MyViewController.cs,ViewDidLoad,The following statement contains a magic number: button.Frame = new RectangleF(  				View.Frame.Width / 2 - buttonWidth / 2'  				View.Frame.Height / 2 - buttonHeight / 2'  				buttonWidth'  				buttonHeight);
Magic Number,iOSNuGetTest,MyViewController,D:\research\architectureSmells\repos\mattleibow_Mono.Data.Sqlite\NuGetTestApps\iOSNuGetTest\MyViewController.cs,ViewDidLoad,The following statement contains a magic number: button.Frame = new RectangleF(  				View.Frame.Width / 2 - buttonWidth / 2'  				View.Frame.Height / 2 - buttonHeight / 2'  				buttonWidth'  				buttonHeight);
