Implementation smell,Namespace,Class,File,Method,Description
Long Statement,TodoCognitive.UWP,AudioRecorderService,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WebServices\TodoCognitiveServices\TodoCognitive.UWP\Services\AudioRecorderService.cs,StartRecordingAsync,The length of the statement  "                recordingFile = await ApplicationData.Current.LocalFolder.CreateFileAsync(Constants.AudioFilename' CreationCollisionOption.ReplaceExisting); " is 140.
Long Statement,TodoCognitive.UWP,AudioRecorderService,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WebServices\TodoCognitiveServices\TodoCognitive.UWP\Services\AudioRecorderService.cs,StartRecordingAsync,The length of the statement  "                    var microphone = await DeviceInformation.CreateFromIdAsync(MediaDevice.GetDefaultAudioCaptureId(AudioDeviceRole.Default)); " is 122.
Long Statement,TodoCognitive.UWP,AudioRecorderService,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WebServices\TodoCognitiveServices\TodoCognitive.UWP\Services\AudioRecorderService.cs,StartRecordingAsync,The length of the statement  "                    var outputProfile = MediaEncodingProfile.CreateWav(AudioEncodingQuality.Low); // 1 channel' 16 bits per sample' 16K sample rate " is 127.
Magic Number,TodoCognitive.UWP,AudioRecorderService,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WebServices\TodoCognitiveServices\TodoCognitive.UWP\Services\AudioRecorderService.cs,StartRecordingAsync,The following statement contains a magic number: outputProfile.Audio = AudioEncodingProperties.CreatePcm(16000' 1' 16);
Magic Number,TodoCognitive.UWP,AudioRecorderService,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WebServices\TodoCognitiveServices\TodoCognitive.UWP\Services\AudioRecorderService.cs,StartRecordingAsync,The following statement contains a magic number: outputProfile.Audio = AudioEncodingProperties.CreatePcm(16000' 1' 16);
