Implementation smell,Namespace,Class,File,Method,Description
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
Magic Number,ResourceDictionaryDemo,ListDataPage,C:\repos\xamarin_xamarin-forms-samples\XAML\ResourceDictionaries\ResourceDictionaryDemo\ListDataPage.xaml.cs,ListDataPage,The following statement contains a magic number: var people = new List<Person> {  				new Person ("Steve"' 21' "USA")'  				new Person ("John"' 37' "USA")'  				new Person ("Tom"' 42' "UK")'  				new Person ("Lucas"' 29' "Germany")'  				new Person ("Tariq"' 39' "UK")'  				new Person ("Jane"' 30' "USA")  			};
