Implementation smell,Namespace,Class,File,Method,Description
Magic Number,EventToCommandBehavior,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageCS.cs,HomePageCS,The following statement contains a magic number: Content = new StackLayout              {                  Margin = new Thickness(20)'                  Children = {                      new Label {                          Text = "Behaviors Demo"'                          FontAttributes = FontAttributes.Bold'                          HorizontalOptions = LayoutOptions.Center                      }'                      listView'                      selectedItemLabel                  }              };
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
Magic Number,EventToCommandBehavior,HomePageViewModel,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\Behaviors\EventToCommandBehavior\EventToCommandBehavior\HomePageViewModel.cs,HomePageViewModel,The following statement contains a magic number: People = new ObservableCollection<Person>               {  				new Person ("Steve"' 21)'  				new Person ("John"' 37)'  				new Person ("Tom"' 42)'  				new Person ("Lucas"' 29)'  				new Person ("Tariq"' 39)'  				new Person ("Jane"' 30)  			};
