Implementation smell,Namespace,Class,File,Method,Description
Magic Number,PassingData,MainPage,C:\repos\xamarin_xamarin-forms-samples\Navigation\PassingData\PassingData\MainPage.xaml.cs,OnNavigateButtonClicked,The following statement contains a magic number: var contact = new Contact {  				Name = "Jane Doe"'  				Age = 30'  				Occupation = "Developer"'  				Country = "USA"  			};
Magic Number,PassingData,MainPageCS,C:\repos\xamarin_xamarin-forms-samples\Navigation\PassingData\PassingData\MainPageCS.cs,OnNavigateButtonClicked,The following statement contains a magic number: var contact = new Contact {  				Name = "Jane Doe"'  				Age = 30'  				Occupation = "Developer"'  				Country = "USA"  			};
