Implementation smell,Namespace,Class,File,Method,Description
Complex Method,EffectsDemo.WinPhone81,App,C:\repos\xamarin_xamarin-forms-samples\Behaviors\EffectBehavior\WinPhone81\App.xaml.cs,OnLaunched,Cyclomatic complexity of the method is 8
Magic Number,EffectsDemo.WinPhone81,LabelShadowEffect,C:\repos\xamarin_xamarin-forms-samples\Behaviors\EffectBehavior\WinPhone81\LabelShadowEffect.cs,OnAttached,The following statement contains a magic number: try {  				if (!shadowAdded) {  					var textBlock = Control as Windows.UI.Xaml.Controls.TextBlock;    					var shadowLabel = new Label ();  					shadowLabel.Text = textBlock.Text;  					shadowLabel.FontAttributes = FontAttributes.Bold;  					shadowLabel.HorizontalOptions = LayoutOptions.Center;  					shadowLabel.VerticalOptions = LayoutOptions.CenterAndExpand;                      shadowLabel.TextColor = Color.Red;                      shadowLabel.TranslationX = 5;                      shadowLabel.TranslationY = 5;    					((Grid)Element.Parent).Children.Insert (0' shadowLabel);  					shadowAdded = true;  				}  			} catch (Exception ex) {  				Debug.WriteLine ("Cannot set property on attached control. Error: "' ex.Message);  			}
Magic Number,EffectsDemo.WinPhone81,LabelShadowEffect,C:\repos\xamarin_xamarin-forms-samples\Behaviors\EffectBehavior\WinPhone81\LabelShadowEffect.cs,OnAttached,The following statement contains a magic number: try {  				if (!shadowAdded) {  					var textBlock = Control as Windows.UI.Xaml.Controls.TextBlock;    					var shadowLabel = new Label ();  					shadowLabel.Text = textBlock.Text;  					shadowLabel.FontAttributes = FontAttributes.Bold;  					shadowLabel.HorizontalOptions = LayoutOptions.Center;  					shadowLabel.VerticalOptions = LayoutOptions.CenterAndExpand;                      shadowLabel.TextColor = Color.Red;                      shadowLabel.TranslationX = 5;                      shadowLabel.TranslationY = 5;    					((Grid)Element.Parent).Children.Insert (0' shadowLabel);  					shadowAdded = true;  				}  			} catch (Exception ex) {  				Debug.WriteLine ("Cannot set property on attached control. Error: "' ex.Message);  			}
