Implementation smell,Namespace,Class,File,Method,Description
Long Method,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The method has 132 lines of code.
Long Method,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The method has 161 lines of code.
Long Statement,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,FixSize,The length of the statement  "            int widthSpec = Android.Views.View.MeasureSpec.MakeMeasureSpec(width * 2' Android.Views.View.MeasureSpec.GetMode(widthConstraint)); " is 131.
Long Statement,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,FixSize,The length of the statement  "            int widthSpec = Android.Views.View.MeasureSpec.MakeMeasureSpec(width * 2' Android.Views.View.MeasureSpec.GetMode(widthConstraint)); " is 131.
Magic Number,NestPlatformControl,Separator,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\Separator.cs,Separator,The following statement contains a magic number: HeightRequest = 2;
Magic Number,NestPlatformControl,Separator,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\Separator.cs,Separator,The following statement contains a magic number: Opacity = 0.5;
Magic Number,NestPlatformControl,Separator,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\Separator.cs,Separator,The following statement contains a magic number: Margin = new Thickness (20' 0' 20' 0);
Magic Number,NestPlatformControl,Separator,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\Separator.cs,Separator,The following statement contains a magic number: Margin = new Thickness (20' 0' 20' 0);
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: var textView = new TextView(MainActivity.Instance) { Text = originalText' TextSize = 14 };
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: textView.SetLines(3);
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: var explanation1 = new TextView(MainActivity.Instance)              {                  Text = "The next control is a CustomControl (a customized TextView with a bad OnMeasure implementation)."'                  TextSize = 14              };
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: var brokenControl = new CustomControl(MainActivity.Instance)              {                  Text = "This control has incorrect sizing - it doesn't occupy the available width of the device."'                  TextSize = 14              };
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: var explanation2 = new TextView(MainActivity.Instance)              {                  Text = "The next control is a CustomControl' but with a custom GetDesiredSize delegate to accomodate it's sizing problem."'                  TextSize = 14              };
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,HomePage,The following statement contains a magic number: var goodControl = new CustomControl(MainActivity.Instance)              {                  Text = "This control has correct sizing - it occupies the available width of the device."'                  TextSize = 14              };
Magic Number,NestPlatformControl,HomePage,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePage.xaml.cs,FixSize,The following statement contains a magic number: int widthSpec = Android.Views.View.MeasureSpec.MakeMeasureSpec(width * 2' Android.Views.View.MeasureSpec.GetMode(widthConstraint));
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: Content = new Xamarin.Forms.ScrollView              {                  Margin = new Xamarin.Forms.Thickness(20' 40' 20' 0)'                  Content = stackLayout              };
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: Content = new Xamarin.Forms.ScrollView              {                  Margin = new Xamarin.Forms.Thickness(20' 40' 20' 0)'                  Content = stackLayout              };
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: Content = new Xamarin.Forms.ScrollView              {                  Margin = new Xamarin.Forms.Thickness(20' 40' 20' 0)'                  Content = stackLayout              };
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: var textView = new TextView(MainActivity.Instance) { Text = originalText' TextSize = 14 };
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: textView.SetLines(3);
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: var explanation1 = new TextView(MainActivity.Instance)              {                  Text = "The next control is a CustomControl (a customized TextView with a bad OnMeasure implementation)."'                  TextSize = 14              };
Magic Number,NestPlatformControl,HomePageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\NativeEmbedding\NestPlatformControl\NestPlatformControl\HomePageCS.cs,HomePageCS,The following statement contains a magic number: var brokenControl = new CustomControl(MainActivity.Instance)              {                  Text = "This control has incorrect sizing - it doesn't occupy the available width of the device."'                  TextSize = 14              };
