Implementation smell,Namespace,Class,File,Method,Description
Complex Method,ImageWrapLayout,WrapLayout,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\CustomLayout\WrapLayout\ImageWrapLayout\Layout\WrapLayout.cs,GetLayoutData,Cyclomatic complexity of the method is 8
Magic Number,ImageWrapLayout,ImageWrapLayoutPageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\CustomLayout\WrapLayout\ImageWrapLayout\ImageWrapLayoutPageCS.cs,ImageWrapLayoutPageCS,The following statement contains a magic number: Content = new ScrollView  			{  				Margin = new Thickness(20' 35' 20' 20)'  				Content = _wrapLayout  			};
Magic Number,ImageWrapLayout,ImageWrapLayoutPageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\CustomLayout\WrapLayout\ImageWrapLayout\ImageWrapLayoutPageCS.cs,ImageWrapLayoutPageCS,The following statement contains a magic number: Content = new ScrollView  			{  				Margin = new Thickness(20' 35' 20' 20)'  				Content = _wrapLayout  			};
Magic Number,ImageWrapLayout,ImageWrapLayoutPageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\CustomLayout\WrapLayout\ImageWrapLayout\ImageWrapLayoutPageCS.cs,ImageWrapLayoutPageCS,The following statement contains a magic number: Content = new ScrollView  			{  				Margin = new Thickness(20' 35' 20' 20)'  				Content = _wrapLayout  			};
Magic Number,ImageWrapLayout,ImageWrapLayoutPageCS,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\UserInterface\CustomLayout\WrapLayout\ImageWrapLayout\ImageWrapLayoutPageCS.cs,ImageWrapLayoutPageCS,The following statement contains a magic number: Content = new ScrollView  			{  				Margin = new Thickness(20' 35' 20' 20)'  				Content = _wrapLayout  			};
