Implementation smell,Namespace,Class,File,Method,Description
Complex Method,CustomRenderer.WinPhone81,App,C:\repos\xamarin_xamarin-forms-samples\CustomRenderers\ContentPage\WinPhone81\App.xaml.cs,OnLaunched,Cyclomatic complexity of the method is 8
Long Statement,CustomRenderer.WinPhone81,CameraPageRenderer,C:\repos\xamarin_xamarin-forms-samples\CustomRenderers\ContentPage\WinPhone81\CameraPageRenderer.cs,SetupLiveCameraStream,The length of the statement  "			//var frontCamera = devices.FirstOrDefault(c => c.EnclosureLocation != null && c.EnclosureLocation.Panel == Windows.Devices.Enumeration.Panel.Front); " is 149.
Long Statement,CustomRenderer.WinPhone81,CameraPageRenderer,C:\repos\xamarin_xamarin-forms-samples\CustomRenderers\ContentPage\WinPhone81\CameraPageRenderer.cs,SetupLiveCameraStream,The length of the statement  "			var backCamera = devices.FirstOrDefault (c => c.EnclosureLocation != null && c.EnclosureLocation.Panel == Windows.Devices.Enumeration.Panel.Back); " is 146.
