Implementation smell,Namespace,Class,File,Method,Description
Long Statement,WorkingWithImages,ResourceLoader,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\ResourceLoader.cs,GetEmbeddedResourceStream,The length of the statement  "                throw new Exception(string.Format("Multiple resources ending with {0} found: {1}{2}"' resourceFileName' Environment.NewLine' string.Join(Environment.NewLine' resourcePaths))); " is 175.
Magic Number,WorkingWithImages,DownloadImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\DownloadImages.cs,DownloadImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image UriSource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					webImage'   					new Label { Text = "This image is downloaded from microsoft.com" }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,DownloadImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\DownloadImages.cs,DownloadImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image UriSource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					webImage'   					new Label { Text = "This image is downloaded from microsoft.com" }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,DownloadImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\DownloadImages.cs,DownloadImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image UriSource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					webImage'   					new Label { Text = "This image is downloaded from microsoft.com" }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,DownloadImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\DownloadImages.cs,DownloadImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image UriSource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					webImage'   					new Label { Text = "This image is downloaded from microsoft.com" }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,EmbeddedImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\EmbeddedImages.cs,EmbeddedImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image Embedded Resource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					embeddedImage'   					new Label { Text = "This image is an embedded resource' referenced in C#. The same image file is used' regardless of the pixel density of the device (eg. iOS Retina)." }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,EmbeddedImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\EmbeddedImages.cs,EmbeddedImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image Embedded Resource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					embeddedImage'   					new Label { Text = "This image is an embedded resource' referenced in C#. The same image file is used' regardless of the pixel density of the device (eg. iOS Retina)." }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,EmbeddedImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\EmbeddedImages.cs,EmbeddedImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image Embedded Resource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					embeddedImage'   					new Label { Text = "This image is an embedded resource' referenced in C#. The same image file is used' regardless of the pixel density of the device (eg. iOS Retina)." }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,EmbeddedImages,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\EmbeddedImages.cs,EmbeddedImages,The following statement contains a magic number: Content = new StackLayout {  				Children = {  					new Label {  						Text = "Image Embedded Resource C#"'  						FontSize = Device.GetNamedSize (NamedSize.Medium' typeof(Label))'  						FontAttributes = FontAttributes.Bold' HorizontalOptions = LayoutOptions.Center                      }'  					embeddedImage'   					new Label { Text = "This image is an embedded resource' referenced in C#. The same image file is used' regardless of the pixel density of the device (eg. iOS Retina)." }  				}'  				Margin = new Thickness (20' 35' 20' 20)'  				VerticalOptions = LayoutOptions.StartAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand  			};
Magic Number,WorkingWithImages,LoadingPlaceholder,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\WorkingWithImages\WorkingWithImages\LoadingPlaceholder.cs,LoadingPlaceholder,The following statement contains a magic number: Padding = new Thickness (20);
