Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AppleSignInAzureFunction,AppleSignInAuth,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\SignInWithApple\AppleSignInAzureFunction\AppleSignInAuth.cs,Run,The length of the statement  "            var apple = new AppleSignInClient(Config.ServerId' Config.KeyId' Config.TeamId' new Uri(Config.RedirectUri)' Config.P8FileContents' state' nonce); " is 146.
Long Statement,AppleSignInAzureFunction,AppleSignInCallback,D:\research\architectureSmells\repos\xamarin_xamarin-forms-samples\SignInWithApple\AppleSignInAzureFunction\AppleSignInCallback.cs,Callback,The length of the statement  "            var apple = new AppleSignInClient(Config.ServerId' Config.KeyId' Config.TeamId' new Uri(Config.RedirectUri)' Config.P8FileContents' state' null); " is 145.
