Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,VocaDbWeb,VocaDb.Web,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: VocaDb.Web' VocaDb.Web.App_Start,VocaDb.Web.MvcApplication' VocaDb.Web.App_Start.ComponentConfig
Cyclic Dependency,VocaDbWeb,VocaDb.Web.Code.Highcharts,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: VocaDb.Web.Code.Highcharts' VocaDb.Web.Helpers,VocaDb.Web.Code.Highcharts.Series' VocaDb.Web.Helpers.UrlHelperExtender' VocaDb.Web.Helpers.DateTimeUtils' VocaDb.Web.Helpers.HighchartsHelper' VocaDb.Web.Helpers.Login' VocaDb.Web.Helpers.PVHelper' VocaDb.Web.Helpers.ReportUtils' VocaDb.Web.Helpers.Translate' VocaDb.Web.Helpers.UrlHelperExtenderForImages' VocaDb.Web.Helpers.ViewHelper' VocaDb.Web.Helpers.WebHelper
Cyclic Dependency,VocaDbWeb,VocaDb.Web.Code.Highcharts,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: VocaDb.Web.Code.Highcharts' VocaDb.Web.Helpers' VocaDb.Web.Code' VocaDb.Web.Helpers,VocaDb.Web.Code.Highcharts.Series' VocaDb.Web.Helpers.UrlHelperExtender' VocaDb.Web.Helpers.DateTimeUtils' VocaDb.Web.Helpers.HighchartsHelper' VocaDb.Web.Helpers.Login' VocaDb.Web.Helpers.PVHelper' VocaDb.Web.Helpers.ReportUtils' VocaDb.Web.Helpers.Translate' VocaDb.Web.Helpers.UrlHelperExtenderForImages' VocaDb.Web.Helpers.ViewHelper' VocaDb.Web.Helpers.WebHelper' VocaDb.Web.Code.EntryAnchorFactory' VocaDb.Web.Code.GravatarUserIconFactory' VocaDb.Web.Code.HelperPage' VocaDb.Web.Code.MenuPage' VocaDb.Web.Code.TimeAgoStringBuilder
Cyclic Dependency,VocaDbWeb,VocaDb.Web.Code,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: VocaDb.Web.Code' VocaDb.Web.Helpers,VocaDb.Web.Code.EntryAnchorFactory' VocaDb.Web.Code.GravatarUserIconFactory' VocaDb.Web.Code.HelperPage' VocaDb.Web.Code.MenuPage' VocaDb.Web.Code.TimeAgoStringBuilder' VocaDb.Web.Helpers.UrlHelperExtender' VocaDb.Web.Helpers.DateTimeUtils' VocaDb.Web.Helpers.HighchartsHelper' VocaDb.Web.Helpers.Login' VocaDb.Web.Helpers.PVHelper' VocaDb.Web.Helpers.ReportUtils' VocaDb.Web.Helpers.Translate' VocaDb.Web.Helpers.UrlHelperExtenderForImages' VocaDb.Web.Helpers.ViewHelper' VocaDb.Web.Helpers.WebHelper
Unstable Dependency,VocaDbWeb,VocaDb.Web.Code.Highcharts,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Web.Helpers,VocaDb.Web.Code.Highcharts.HighchartsHelper
Unstable Dependency,VocaDbWeb,VocaDb.Web.Helpers,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Model.DataContracts.Api' VocaDb.Model.Service.VideoServices,VocaDb.Web.Helpers.EntryForApiContract' VocaDb.Web.Helpers.VideoServiceHelper
Unstable Dependency,VocaDbWeb,VocaDb.Web.App_Start,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Web,VocaDb.Web.App_Start.MvcApplication
Unstable Dependency,VocaDbWeb,VocaDb.Web.Code,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Web.Helpers,VocaDb.Web.Code.JsonHelpers' VocaDb.Web.Code.NumberFormatHelper
Unstable Dependency,VocaDbWeb,VocaDb.Web.Code.Markdown,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Model.Helpers,VocaDb.Web.Code.Markdown.HtmlHelperFunctions
Unstable Dependency,VocaDbWeb,VocaDb.Web.Code.Security,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): VocaDb.Web.Helpers,VocaDb.Web.Code.Security.WebHelper
