Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MonoDevelop.ExtensionTools,Application,C:\research\architectureSmells\repos\mono_monodevelop\main\src\tools\ExtensionTools\Application.cs,CreateWindow,The following statement contains a magic number: var window = new Window { 				Content = CreateWindowContent ()' 				Width = 800' 				Height = 800' 			};
Magic Number,MonoDevelop.ExtensionTools,Application,C:\research\architectureSmells\repos\mono_monodevelop\main\src\tools\ExtensionTools\Application.cs,CreateWindow,The following statement contains a magic number: var window = new Window { 				Content = CreateWindowContent ()' 				Width = 800' 				Height = 800' 			};
Magic Number,MonoDevelop.ExtensionTools,ExtensionPointsWidget,C:\research\architectureSmells\repos\mono_monodevelop\main\src\tools\ExtensionTools\ExtensionPointsWidget.cs,ListView_RowActivated,The following statement contains a magic number: var window = new Window { 				Content = new ExtensionNodesWidget (value)' 				Height = 800' 				Width = 600' 			};
Magic Number,MonoDevelop.ExtensionTools,ExtensionPointsWidget,C:\research\architectureSmells\repos\mono_monodevelop\main\src\tools\ExtensionTools\ExtensionPointsWidget.cs,ListView_RowActivated,The following statement contains a magic number: var window = new Window { 				Content = new ExtensionNodesWidget (value)' 				Height = 800' 				Width = 600' 			};
