Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ServiceStack.Logging.EntLib5,EntLib5Logger,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\EntLib5Logger.cs,DebugFormat,The length of the statement  "                throw new NotSupportedException("The DebugFormat method is not supported. Modify the Log Message Format using a formatter in the loggingConfiguration section."); " is 161.
Long Statement,ServiceStack.Logging.EntLib5,EntLib5Logger,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\EntLib5Logger.cs,ErrorFormat,The length of the statement  "                throw new NotSupportedException("The ErrorFormat method is not supported. Modify the Log Message Format using a formatter in the loggingConfiguration section."); " is 161.
Long Statement,ServiceStack.Logging.EntLib5,EntLib5Logger,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\EntLib5Logger.cs,FatalFormat,The length of the statement  "                throw new NotSupportedException("The FatalFormat method is not supported. Modify the Log Message Format using a formatter in the loggingConfiguration section."); " is 161.
Long Statement,ServiceStack.Logging.EntLib5,EntLib5Logger,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\EntLib5Logger.cs,InfoFormat,The length of the statement  "                throw new NotSupportedException("The InfoFormat method is not supported. Modify the Log Message Format using a formatter in the loggingConfiguration section."); " is 160.
Long Statement,ServiceStack.Logging.EntLib5,EntLib5Logger,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\EntLib5Logger.cs,WarnFormat,The length of the statement  "                throw new NotSupportedException("The WarnFormat method is not supported. Modify the Log Message Format using a formatter in the loggingConfiguration section."); " is 160.
Long Statement,ServiceStack.Logging.EntLib5,SerializableConfigurationSource,C:\repos\ServiceStackV3_ServiceStack.Logging\src\ServiceStack.Logging.EntLib5\SerializableConfigurationSource.cs,GetSection,The length of the statement  "                        MethodInfo methodInfo = section.GetType().GetMethod("DeserializeSection"' BindingFlags.NonPublic | BindingFlags.Instance); " is 122.
