Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Core.Messaging.NServiceBus.Config,ServiceBusConfig,C:\repos\asiemer_IntroToCQRS\src\Core.Messaging.NServiceBus\Config\ServiceBusConfig.cs,InitializeConventions,The method has 8 parameters.
Long Statement,Core.Messaging.NServiceBus.Config,ServiceBusConfig,C:\repos\asiemer_IntroToCQRS\src\Core.Messaging.NServiceBus\Config\ServiceBusConfig.cs,InitializeConventions,The length of the statement  "	conventions.DefiningCommandsAs (t => t.Namespace != null && t.Namespace.StartsWith ("LightSail.Core.Messaging.Commands")); " is 122.
Long Statement,Core.Messaging.NServiceBus.Config,ServiceBusConfig,C:\repos\asiemer_IntroToCQRS\src\Core.Messaging.NServiceBus\Config\ServiceBusConfig.cs,InitializeConventions,The length of the statement  "	conventions.DefiningMessagesAs (t => t.Namespace != null && t.Namespace.StartsWith ("LightSail.Core.Messaging.Messages")); " is 122.
Long Statement,Core.Messaging.NServiceBus.Config,ServiceBusConfig,C:\repos\asiemer_IntroToCQRS\src\Core.Messaging.NServiceBus\Config\ServiceBusConfig.cs,InitializeConventions,The length of the statement  "	conventions.DefiningTimeToBeReceivedAs (t => t.Name.EndsWith ("Expires") ? TimeSpan.FromSeconds (30) : TimeSpan.MaxValue); " is 122.
Magic Number,Core.Messaging.NServiceBus.Config,ServiceBusConfig,C:\repos\asiemer_IntroToCQRS\src\Core.Messaging.NServiceBus\Config\ServiceBusConfig.cs,InitializeConventions,The following statement contains a magic number: conventions.DefiningTimeToBeReceivedAs (t => t.Name.EndsWith ("Expires") ? TimeSpan.FromSeconds (30) : TimeSpan.MaxValue);  
