Implementation smell,Namespace,Class,File,Method,Description
Long Statement,VS2013.Controllers,AccountController,C:\repos\brockallen_BrockAllen.IdentityReboot\samples\VS2013\VS2013\Controllers\AccountController.cs,Disassociate,The length of the statement  "            IdentityResult result = await UserManager.RemoveLoginAsync(User.Identity.GetUserId()' new UserLoginInfo(loginProvider' providerKey)); " is 133.
Long Statement,VS2013.Controllers,AccountController,C:\repos\brockallen_BrockAllen.IdentityReboot\samples\VS2013\VS2013\Controllers\AccountController.cs,Manage,The length of the statement  "                    IdentityResult result = await UserManager.ChangePasswordAsync(User.Identity.GetUserId()' model.OldPassword' model.NewPassword); " is 127.
Long Statement,VS2013.Controllers,AccountController,C:\repos\brockallen_BrockAllen.IdentityReboot\samples\VS2013\VS2013\Controllers\AccountController.cs,ExternalLoginCallback,The length of the statement  "                return View("ExternalLoginConfirmation"' new ExternalLoginConfirmationViewModel { UserName = loginInfo.DefaultUserName }); " is 122.
Magic Number,VS2013.Models,ApplicationUserManager,C:\repos\brockallen_BrockAllen.IdentityReboot\samples\VS2013\VS2013\Models\IdentityModels.cs,ApplicationUserManager,The following statement contains a magic number: this.PasswordHasher = new AdaptivePasswordHasher(50000);
