Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The length of the statement  "            List<ContactSegmentSample.Models.Criteria.Criterion> criteria = new List<ContactSegmentSample.Models.Criteria.Criterion>(); " is 123.
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,GetSegmenTest,The following statement contains a magic number: int segmentId = 19053;
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,SearchSegmentsTest,The following statement contains a magic number: RequestObjectList<ContactSegment> segments = _segmentHelper.SearchSegments("*"' 1' 10);
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,SearchSegmentsTest,The following statement contains a magic number: Assert.AreEqual(10' segments.elements.Count);
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: var activityRestriction = new NumericValueCondition                                            {                                                id = -500020'                                                @operator = "equal"'                                                type = "NumericValueCondition"'                                                value = 1                                            };
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: var timeRestriction = new DateValueCondition                                        {                                            id = -21'                                            @operator = "withinLast"'                                            type = "DateValueCondition"'                                            value = new RelativeDate                                                        {                                                            id = "-500021"'                                                            offset = 1'                                                            timePeriod = "week"'                                                            type = "RelativeDate"                                                        }                                        };
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: EmailSentCriterion emailSentCriterion = new EmailSentCriterion                                                          {                                                              id = -500014'                                                              type = "EmailSentCriterion"'                                                              activityRestriction = activityRestriction'                                                              timeRestriction = timeRestriction                                                          };
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: ContactFilter filter = new ContactFilter                                         {                                             criteria = criteria'                                             id = -500012'                                             name = "Filter Sample"'                                             scope = "local"'                                             statement = "-500014"'                                             type = "ContactFilter"                                         };
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: ContactFilterSegmentElement filterElement = new ContactFilterSegmentElement()                                                              {                                                                  filter = filter'                                                                  id = -500013'                                                                  isIncluded = true'                                                                  type = "ContactFilterSegmentElement"                                                              };
Magic Number,ContactSegmentHelperTests,ContactSegmentHelperTests,D:\research\architectureSmells\repos\fredsakr_eloqua-samples\segment-helper\ContactSegmentHelper.Tests\ContactSegmentHelperTests.cs,CreateSegmentTest,The following statement contains a magic number: ContactSegment segment = new ContactSegment                                           {                                               detph = "complete"'                                               id = -500002'                                               elements = filterElements'                                               name = "sample segment"'                                               type = "ContactSegment"                                           };
