Implementation smell,Namespace,Class,File,Method,Description
Long Statement,CustomDataImportSample,CustomDataHelper,C:\repos\fredsakr_eloqua-samples\customObject-import\CustomDataImportSample\CustomDataHelper.cs,SearchCustomDataObjects,The length of the statement  "            IRestResponse<RestObjectList<CustomObjectSearchResponse>> response = _client.Execute<RestObjectList<CustomObjectSearchResponse>>(request); " is 138.
Magic Number,CustomDataImportSample,CustomDataImportHelper,C:\repos\fredsakr_eloqua-samples\customObject-import\CustomDataImportSample\CustomDataImportHelper.cs,CreateImportStructure,The following statement contains a magic number: Import import = new Import()                                  {                                      name = "sample import"'                                      fields = fields'                                      updateRule = RuleType.ifNewIsNotNull'                                      identifierFieldName = "Email_Address1"'                                      secondsToRetainData = 3600'                                      isSyncTriggeredOnImport = true'                                      //syncActions = new List<SyncAction>()                                      //                  {                                      //                      new SyncAction()                                      //                          {                                      //                              action = SyncActionType.add'                                      //                              destinationUri = ""                                      //                          }                                      //                  }                                  };
