Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Coevery.FormDesigner.Controllers,SystemAdminController,D:\research\architectureSmells\repos\Coevery_Coevery\src\Coevery.Web\Modules\Coevery.FormDesigner\Controllers\SystemAdminController.cs,Index,The length of the statement  "                ? "<fd-section section-columns=\"1\" section-columns-width=\"6:6\" section-title=\"Sample Title\"><fd-row><fd-column></fd-column></fd-row></fd-section>" " is 152.
Long Statement,Coevery.FormDesigner.Services,LayoutManager,D:\research\architectureSmells\repos\Coevery_Coevery\src\Coevery.Web\Modules\Coevery.FormDesigner\Services\ILayoutManager.cs,AddField,The length of the statement  "                : "<fd-section section-columns=\"1\" section-columns-width=\"6:6\" section-title=\""+T("General Information")+"\"><fd-row><fd-column></fd-column></fd-row></fd-section>"; " is 169.
Long Statement,Coevery.FormDesigner.Services,LayoutManager,D:\research\architectureSmells\repos\Coevery_Coevery\src\Coevery.Web\Modules\Coevery.FormDesigner\Services\ILayoutManager.cs,GenerateDefaultLayout,The length of the statement  "            var layout = GetLayoutElement("<fd-section section-columns=\"1\" section-columns-width=\"6:6\" section-title=\"" + T("General Information") + "\"></fd-section>"); " is 162.
