Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Coevery.Entities,Coevery.Entities.Models,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Coevery.Entities.Models' Coevery.Entities.Services,Coevery.Entities.Models.EntityMetadataPart' Coevery.Entities.Services.ClientRouteProvider' Coevery.Entities.Services.ContentDefinitionService' Coevery.Entities.Services.IContentMetadataService' Coevery.Entities.Services.ContentMetadataService' Coevery.Entities.Services.SettingService' Coevery.Entities.Services.SystemAdminMenu
Unstable Dependency,Coevery.Entities,Coevery.Entities.Models,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Coevery.Entities.Services,Coevery.Entities.Models.ISettingService
Unstable Dependency,Coevery.Entities,Coevery.Entities.Services,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Coevery.Common.Services,Coevery.Entities.Services.ISchemaUpdateService
Feature Concentration,Coevery.Entities,Coevery.Entities.Services,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClientRouteProvider]' [ContentDefinitionService' IContentDefinitionService' ContentMetadataService' ISettingService' SettingService' IContentMetadataService' SystemAdminMenu]' [Updater]' [IFieldToPropertyStateProvider' FieldToPropertyStateProvider]' [IContentFieldValueProvider' ContentFieldValueProvider<TContentField>]' [IModelInitializer]. LCC (Lack of Component Cohesion) = 0.43,Coevery.Entities.Services.IFieldToPropertyStateProvider' Coevery.Entities.Services.FieldToPropertyStateProvider' Coevery.Entities.Services.IContentFieldValueProvider' Coevery.Entities.Services.ContentFieldValueProvider<TContentField>' Coevery.Entities.Services.ClientRouteProvider' Coevery.Entities.Services.Updater' Coevery.Entities.Services.IModelInitializer
Feature Concentration,Coevery.Entities,Coevery.Entities.Settings,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IEntityRecordEditorEvents' EntityRecordEditorEventsBase]' [EntitySetting]' [FieldEditorEvents' FieldSettings' ContentDefinitionEditorEventsBase' IContentDefinitionEditorEvents]. LCC (Lack of Component Cohesion) = 0.43,Coevery.Entities.Settings.IEntityRecordEditorEvents' Coevery.Entities.Settings.EntityRecordEditorEventsBase' Coevery.Entities.Settings.EntitySetting
Feature Concentration,Coevery.Entities,Coevery.Entities.ViewModels,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddFieldViewModel]' [CreatePartViewModel]' [EditFieldNameViewModel]' [EditFieldViewModel]' [EditPartFieldViewModel]' [EditPartViewModel]' [EditTypePartViewModel]' [EditTypeViewModel' EntityDetailViewModel]' [FieldDependencyViewModel]' [EntityRecordViewModel]. LCC (Lack of Component Cohesion) = 0.91,Coevery.Entities.ViewModels.AddFieldViewModel' Coevery.Entities.ViewModels.CreatePartViewModel' Coevery.Entities.ViewModels.EditFieldNameViewModel' Coevery.Entities.ViewModels.EditFieldViewModel' Coevery.Entities.ViewModels.EditPartFieldViewModel' Coevery.Entities.ViewModels.EditPartViewModel' Coevery.Entities.ViewModels.EditTypePartViewModel' Coevery.Entities.ViewModels.FieldDependencyViewModel' Coevery.Entities.ViewModels.EntityRecordViewModel
Scattered Functionality,Coevery.Entities,Coevery.Entities.Controllers,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Coevery.Entities.Services' Coevery.ContentManagement,Coevery.Entities.Services.IContentMetadataService' Coevery.ContentManagement.ContentExtensions' Coevery.ContentManagement.IContentManager
Scattered Functionality,Coevery.Entities,Coevery.Entities.Controllers,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Coevery.Security' Coevery.Entities.Settings' Coevery.Entities.Services,Coevery.Security.IAuthorizer' Coevery.Entities.Settings.IEntityRecordEditorEvents' Coevery.Entities.Services.IContentDefinitionService' Coevery.Entities.Services.IContentMetadataService' Coevery.Entities.Services.ISettingService' Coevery.Entities.Settings.IContentDefinitionEditorEvents
Scattered Functionality,Coevery.Entities,Coevery.Entities.Controllers,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Coevery.Security' Coevery.Localization' Coevery.Entities.Services' Coevery.Data,Coevery.Security.IAuthorizer' Coevery.Localization.LocalizedString' Coevery.Entities.Services.IContentMetadataService' Coevery.Data.ITransactionManager' Coevery.Entities.Services.ISettingService
Scattered Functionality,Coevery.Entities,Coevery.Entities.Controllers,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Coevery.Security' Coevery.Entities.Services,Coevery.Security.IAuthorizer' Coevery.Entities.Services.IContentMetadataService' Coevery.Entities.Services.IContentDefinitionService
Scattered Functionality,Coevery.Entities,Coevery.Entities.Services,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: Coevery.ContentManagement.MetaData' Coevery.ContentManagement.MetaData.Builders,Coevery.ContentManagement.MetaData.ContentDefinitionManagerExtensions' Coevery.ContentManagement.MetaData.Builders.ContentTypeDefinitionBuilder' Coevery.ContentManagement.MetaData.Builders.ContentPartDefinitionBuilder
