Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Telerik.Sitefinity.Frontend.Card.Mvc.Models.Card,CardModel,D:\newReposJune17\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Card\Mvc\Models\Card\CardModel.cs,IsEmpty,The length of the statement  "	return (this.ImageId == Guid.Empty && this.LinkedPageId == Guid.Empty && string.IsNullOrEmpty (this.Description) && string.IsNullOrEmpty (this.Description) && string.IsNullOrEmpty (this.CssClass) && string.IsNullOrEmpty (this.ActionName) && string.IsNullOrEmpty (this.Heading) && string.IsNullOrEmpty (this.LinkedUrl) && string.IsNullOrEmpty (this.ImageProviderName)); " is 368.
Long Statement,Telerik.Sitefinity.Frontend.Card.Mvc.Models.Card,CardModel,D:\newReposJune17\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Card\Mvc\Models\Card\CardModel.cs,GetImage,The length of the statement  "	return librariesManager.GetImages ().Where (i => i.Id == this.ImageId).Where (PredefinedFilters.PublishedItemsFilter<Telerik.Sitefinity.Libraries.Model.Image> ()).FirstOrDefault (); " is 181.
