Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,Initialize,Cyclomatic complexity of the method is 8
Long Identifier,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,,The length of the parameter sitefinityUserDisplayNameBuilder is 32.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,ThreadsConfigModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\ThreadsConfigModel.cs,GetThreadConfigByType,The length of the statement  "            var commentsModuleConfigType = assembly.GetType("Telerik.Sitefinity.Modules.Comments.Configuration.CommentsModuleConfig"); " is 122.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,ThreadsConfigModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\ThreadsConfigModel.cs,GetThreadConfigByType,The length of the statement  "            var defaultSettubgsPropInfo = commentsModuleConfigType.GetProperty("DefaultSettings"' BindingFlags.Public | BindingFlags.Instance); " is 131.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,ThreadsConfigModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\ThreadsConfigModel.cs,GetThreadConfigByType,The length of the statement  "                var commentableTypesPropInfo = commentsModuleConfigType.GetProperty("CommentableTypes"' BindingFlags.Public | BindingFlags.Instance); " is 133.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,GetCommentsListViewModel,The length of the statement  "            var allowComments = (inputModel != null && inputModel.AllowComments.HasValue) ? inputModel.AllowComments.Value : this.AllowComments; " is 132.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,GetCommentsListViewModel,The length of the statement  "                var jsonSerializerSettings = new JsonSerializerSettings() { ContractResolver = new CamelCasePropertyNamesContractResolver() }; " is 126.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,Initialize,The length of the statement  "                this.ThreadKey = ControlUtilities.GetLocalizedKey(SiteMapBase.GetActualCurrentNode().Id' null' CommentsBehaviorUtilities.GetLocalizedKeySuffix(this.ThreadType)); " is 161.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,GetDefaultLoginUrl,The length of the statement  "                    var culture = AppSettings.CurrentSettings.Multilingual ? SystemManager.CurrentContext.AppSettings.CurrentCulture : null; " is 120.
Long Statement,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,GetDefaultLoginUrl,The length of the statement  "                    defaultLoginPageUrl = !redirectPage.IsDeleted ? Telerik.Sitefinity.Modules.Pages.PageExtesnsions.GetFullUrl(redirectPage' culture' true) : string.Empty; " is 152.
Magic Number,Telerik.Sitefinity.Frontend.Comments.Mvc.Models,CommentsModel,C:\repos\Sitefinity_feather-widgets\Telerik.Sitefinity.Frontend.Comments\Mvc\Models\CommentsModel.cs,GetCommentsListWidgetSettings,The following statement contains a magic number: return new CommentsListWidgetSettings()              {                  CommentsAllowSubscription = this.ThreadConfig.AllowSubscription && !this.ThreadIsClosed'                  CommentsAutoRefresh = this.CommentsAutoRefresh'                  CommentsInitiallySortedDescending = this.CommentsConfig.AreNewestOnTop'                  CommentsPerPage = this.CommentsConfig.EnablePaging? this.CommentsConfig.CommentsPerPage: 500'                  CommentsRefreshInterval = this.CommentsRefreshInterval'                  CommentsTextMaxLength = this.CommentTextMaxLength'                  CommentsThread = this.Thread ?? this.GetCommentsThreadProxy(threadTitle)'                  CommentsThreadKey = this.ThreadKey'                  CommentsThreadType = this.ThreadType'                  IsDesignMode = SystemManager.IsDesignMode'                  IsUserAuthenticatedUrl = isUserAuthenticatedUrl'                  RequiresApproval = this.ThreadConfig.RequiresApproval'                  RequiresAuthentication = this.ThreadConfig.RequiresAuthentication'                  RequiresCaptcha = this.CommentsConfig.UseSpamProtectionImage'                  RootUrl = rootUrl'                  UserAvatarImageUrl = this.UserAvatarImageUrl'                  UserDisplayName = this.UserDisplayName'                  //// Reviews                  UseReviews = useReviews'                  HasUserAlreadyReviewedUrl = hasUserAlreadyReviewedUrl'                  CreateCommentUrl = createCommentUrl              };
