Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Cosmos.TestRunner.UnitTest,TestOutputHandler,D:\research\architectureSmells\repos\CosmosOS_Cosmos\Tests\Cosmos.TestRunner.UnitTest\KernelTests.cs,Log,The length of the statement  "                TestContext.WriteLine(String.Concat(DateTime.Now.ToString("hh:mm:ss.ffffff ")' new string(' '' mLogLevel * 2)' message)); " is 121.
Magic Number,Cosmos.TestRunner.UnitTest,TestOutputHandler,D:\research\architectureSmells\repos\CosmosOS_Cosmos\Tests\Cosmos.TestRunner.UnitTest\KernelTests.cs,Log,The following statement contains a magic number: TestContext.WriteLine(String.Concat(DateTime.Now.ToString("hh:mm:ss.ffffff ")' new string(' '' mLogLevel * 2)' message));
