Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Ex6,MainWindow,C:\repos\jen20_ProgNET2014\src\complete\ex6-bindings-part2\Ex6\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.FirstName = ((System.Windows.Controls.TextBox)(target));              return;              case 2:              this.GreetUserButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.WhatWasEntered = ((System.Windows.Documents.Run)(target));              return;              }
Magic Number,Ex6,MainWindow,C:\repos\jen20_ProgNET2014\src\complete\ex6-bindings-part2\Ex6\MainWindow.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.FirstName = ((System.Windows.Controls.TextBox)(target));              return;              case 2:              this.GreetUserButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.WhatWasEntered = ((System.Windows.Documents.Run)(target));              return;              }
Missing Default,Ex6,MainWindow,C:\repos\jen20_ProgNET2014\src\complete\ex6-bindings-part2\Ex6\MainWindow.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.FirstName = ((System.Windows.Controls.TextBox)(target));              return;              case 2:              this.GreetUserButton = ((System.Windows.Controls.Button)(target));              return;              case 3:              this.WhatWasEntered = ((System.Windows.Documents.Run)(target));              return;              }
