Implementation smell,Namespace,Class,File,Method,Description
Magic Number,Ex8,ViewA,C:\repos\jen20_ProgNET2014\src\complete\ex8-routing\Ex8\ViewA.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.ViewInstanceId = ((System.Windows.Documents.Run)(target));              return;              case 2:              this.ViewModelInstanceId = ((System.Windows.Documents.Run)(target));              return;              }
Magic Number,Ex8,ViewB,C:\repos\jen20_ProgNET2014\src\complete\ex8-routing\Ex8\ViewB.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.ViewInstanceId = ((System.Windows.Documents.Run)(target));              return;              case 2:              this.ViewModelInstanceId = ((System.Windows.Documents.Run)(target));              return;              }
Missing Default,Ex8,ViewA,C:\repos\jen20_ProgNET2014\src\complete\ex8-routing\Ex8\ViewA.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.ViewInstanceId = ((System.Windows.Documents.Run)(target));              return;              case 2:              this.ViewModelInstanceId = ((System.Windows.Documents.Run)(target));              return;              }
Missing Default,Ex8,ViewB,C:\repos\jen20_ProgNET2014\src\complete\ex8-routing\Ex8\ViewB.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.ViewInstanceId = ((System.Windows.Documents.Run)(target));              return;              case 2:              this.ViewModelInstanceId = ((System.Windows.Documents.Run)(target));              return;              }
