Implementation smell,Namespace,Class,File,Method,Description
Complex Method,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,DnBContext,Cyclomatic complexity of the method is 9
Complex Method,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,SearchBusinessCandidates,Cyclomatic complexity of the method is 10
Complex Method,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,Cyclomatic complexity of the method is 8
Long Parameter List,DnB.NET.Helper,StatementBuilder,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\Helper\StatementBuilder.cs,FindCompany,The method has 6 parameters.
Long Statement,DnB.NET.Assembler,Assemble,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\Assemblers.cs,Build,The length of the statement  "			StreetAddress = item.PrimaryAddress.StreetAddressLine == null ? "" : item.PrimaryAddress.StreetAddressLine [0].LineText' " is 120.
Long Statement,DnB.NET.Assembler,Assemble,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\Assemblers.cs,Build,The length of the statement  "			StreetAddress = item.PrimaryAddress.StreetAddressLine == null ? "" : item.PrimaryAddress.StreetAddressLine [0].LineText' " is 120.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,SearchBusinessCandidates,The length of the statement  "		_Request = WebRequest.Create (new Uri (String.Format ("{0}{1}"' _DnBBasicURL' StatementBuilder.FindCompany (searchKey)))); " is 122.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,SearchBusinessCandidates,The length of the statement  "				_ErrorMessage = String.Format ("API CALL ERROR: {0} - {1}"' errAPI.MatchResponse.TransactionResult.ResultText' errAPI.MatchResponse.TransactionResult.ResultMessage [0].ResultDescription); " is 187.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				var companyProfile = JsonConvert.DeserializeObject<DnB.NET.JsonModels.CompanyProfileInformation.CompanyProfileInfo> (streamReader.ReadToEnd ()); " is 144.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.BusinessName = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.OrganizationName.OrganizationPrimaryName [0].OrganizationName.Value; " is 196.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.StreetAddress = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.Location.PrimaryAddress [0].StreetAddressLine [0].LineText; " is 188.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.City = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.Location.PrimaryAddress [0].PrimaryTownName; " is 164.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.State = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.Location.PrimaryAddress [0].TerritoryAbbreviatedName; " is 174.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.PostalCode = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.Location.PrimaryAddress [0].PostalCode; " is 165.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.BusinessBasicInfo.PhoneNumber = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.Telecommunication.TelephoneNumber [0].TelecommunicationNumber; " is 189.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.CompanyLineBusiness = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.ActivitiesAndOperations.LineOfBusinessDetails [0].LineOfBusinessDescription.Value; " is 199.
Long Statement,DnB.NET,DnBContext,C:\repos\TricellSoftware_DnB.NET\DnB.NET\DnB.NET\DnBContext.cs,GetDnBProfile,The length of the statement  "				dnbProfile.Yearstarted = companyProfile.OrderProductResponse.OrderProductResponseDetail.Product.Organization.OrganizationDetail.OrganizationStartYear; " is 150.
