Implementation smell,Namespace,Class,File,Method,Description
Magic Number,PetaPoco.Cs.Joiner,Program,C:\repos\toptensoftware_PetaPoco\PetaPoco.Cs.Joiner\Program.cs,Main,The following statement contains a magic number: if (args == null || args.Length != 1)  	        {  	            Console.WriteLine("Invalid argument. A signle argument is required' which must be the PetaPoco directory.");  	            return 9;  	        }
Magic Number,PetaPoco.Cs.Joiner,Program,C:\repos\toptensoftware_PetaPoco\PetaPoco.Cs.Joiner\Program.cs,Main,The following statement contains a magic number: if (!File.Exists(databaseFilePath))  	        {                  Console.WriteLine($"PetaPoco not found at `${databaseFilePath}`.");                  return 9;              }
