Implementation smell,Namespace,Class,File,Method,Description
Long Statement,UnitTests.EntitySchemes,EntityIdMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityIdMemberTests.cs,When_ModelId_is_defined_in_base_It_can_extract_the_id,The length of the statement  "            var model = new ModelInheritanceModelIdChild { ModelInheritanceModelIdBaseId = "ModelInheritanceModelIdChild:ModelInheritanceModelIdBaseId:1" }; " is 144.
Long Statement,UnitTests.EntitySchemes,EntityIdMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityIdMemberTests.cs,When_ModelId_is_defined_in_base_but_child_has_more_specific_ModelId_It_extracts_the_child_ModelId,The length of the statement  "            var model = new ModelInheritanceModelIdWithMoreSpecificChild { ModelInheritanceModelIdWithMoreSpecificChildId = "ModelInheritanceModelIdWithMoreSpecificChild:ModelInheritanceModelIdWithMoreSpecificChildId:1" }; " is 210.
Long Statement,UnitTests.EntitySchemes,EntityIdMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityIdMemberTests.cs,When_ModelId_is_defined_in_base_but_child_has_DocumentId_It_extracts_the_child_DocumentId,The length of the statement  "            var model = new ModelInheritanceModelIdWithChildDocumentId { DocumentId = "ModelInheritanceModelIdWithChildDocumentId:DocumentId:1" }; " is 134.
Long Statement,UnitTests.EntitySchemes,EntityIdMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityIdMemberTests.cs,When_ModelId_is_defined_in_base_but_child_has_EntityId_It_extracts_the_child_EntityId,The length of the statement  "            var model = new ModelInheritanceModelIdWithChildEntityId { EntityId = "ModelInheritanceModelIdWithChildEntityId:EntityId:1" }; " is 126.
Long Statement,UnitTests.EntitySchemes,EntityRevMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityRevMemberTests.cs,When_ModelRev_is_defined_in_base_It_can_extract_the_rev,The length of the statement  "            var model = new ModelInheritanceModelRevChild { ModelInheritanceModelRevBaseRev = "ModelInheritanceModelRevChild:ModelInheritanceModelRevBaseRev:1" }; " is 150.
Long Statement,UnitTests.EntitySchemes,EntityRevMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityRevMemberTests.cs,When_ModelRev_is_defined_in_base_but_child_has_more_specific_ModelRev_It_extracts_the_child_ModelRev,The length of the statement  "            var model = new ModelInheritanceModelRevWithMoreSpecificChild { ModelInheritanceModelRevWithMoreSpecificChildRev = "ModelInheritanceModelRevWithMoreSpecificChild:ModelInheritanceModelRevWithMoreSpecificChildRev:1" }; " is 216.
Long Statement,UnitTests.EntitySchemes,EntityRevMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityRevMemberTests.cs,When_ModelRev_is_defined_in_base_but_child_has_DocumentRev_It_extracts_the_child_DocumentRev,The length of the statement  "            var model = new ModelInheritanceModelRevWithChildDocumentRev { DocumentRev = "ModelInheritanceModelRevWithChildDocumentRev:DocumentRev:1" }; " is 140.
Long Statement,UnitTests.EntitySchemes,EntityRevMemberTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\EntitySchemes\EntityRevMemberTests.cs,When_ModelRev_is_defined_in_base_but_child_has_EntityRev_It_extracts_the_child_EntityRev,The length of the statement  "            var model = new ModelInheritanceModelRevWithChildEntityRev { EntityRev = "ModelInheritanceModelRevWithChildEntityRev:EntityRev:1" }; " is 132.
Long Statement,UnitTests.HttpRequestFactories,BulkHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\BulkHttpRequestFactoryTests.cs,When_request_has_deletes_It_generates_a_json_array_with_docs_marked_for_deletion_as_content,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"docs\":[{\"_id\":\"1\"'\"_rev\":\"1-1\"'\"_deleted\":true}'{\"_id\":\"2\"'\"_rev\":\"2-1\"'\"_deleted\":true}]}"); " is 167.
Long Statement,UnitTests.HttpRequestFactories,BulkHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\BulkHttpRequestFactoryTests.cs,When_request_has_includes_It_generates_a_json_array_with_included_docs_as_content,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"docs\":[{\"_id\":\"1\"'\"name\":\"Test1\"}'{\"_id\":\"1\"'\"_rev\":\"1-1\"'\"name\":\"Test2\"}]}"); " is 152.
Long Statement,UnitTests.HttpRequestFactories,BulkHttpRequestFactoryTests,D:\research\architectureSmells\repos\danielwertheim_mycouch\source\tests\UnitTests\HttpRequestFactories\BulkHttpRequestFactoryTests.cs,When_request_has_includes_and_deletes_It_generates_a_json_array_with_all_docs_as_content,The length of the statement  "            r.Content.ReadAsStringAsync().Result.Should().Be("{\"docs\":[{\"_id\":\"1\"'\"name\":\"Test1\"}'{\"_id\":\"1\"'\"_rev\":\"1-1\"'\"name\":\"Test2\"}'{\"_id\":\"1\"'\"_rev\":\"1-1\"'\"_deleted\":true}'{\"_id\":\"2\"'\"_rev\":\"2-1\"'\"_deleted\":true}]}"); " is 254.
