Implementation smell,Namespace,Class,File,Method,Description
Long Statement,NChurn.Core.Adapters.Git,GitAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\Git\GitAdapter.cs,ChangedResources,The length of the statement  "            string text = DataSource.GetDataWithQuery(string.Format(@"git log  --after={0} --name-only --pretty=format:"' backTo.ToString("yyyy-MM-dd"))); " is 142.
Long Statement,NChurn.Core.Adapters.Hg,HgAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\Hg\HgAdapter.cs,ParseImpl,The length of the statement  "            string[] strings = text.SplitLines().Where(x => x.StartsWith("files:")).SelectMany(x => Regex.Split(x' @"\s+").Skip(1)).ToArray(); " is 130.
Long Statement,NChurn.Core.Adapters.Svn,SvnAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\Svn\SvnAdapter.cs,ChangedResources,The length of the statement  "            string text = DataSource.GetDataWithQuery(string.Format(@"svn log --revision {{{0}}}:{{{1}}} --verbose"' backTo.ToString("yyyy-MM-dd")' DateTime.Now.ToString("yyyy-MM-dd"))); " is 174.
Long Statement,NChurn.Core.Adapters.TF,TFAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\TF\TFAdapter.cs,ChangedResources,The length of the statement  "            string text = DataSource.GetDataWithQuery(string.Format(@"tf history /version:D""{0}""~D""{1}"" /format:detailed /noprompt /recursive ."' backTo.ToString("dd-MM-yyyy")' DateTime.Now.ToString("dd-MM-yyyy"))); " is 207.
Magic Number,NChurn.Core.Adapters,DummyAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\DummyAdapter.cs,ChangedResources,The following statement contains a magic number: if(_text ==null)                  return Enumerable.Repeat("this is a string"' 10000);
Magic Number,NChurn.Core.Adapters.Svn,SvnAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\Svn\SvnAdapter.cs,ParseImpl,The following statement contains a magic number: return from s in strings                     select _matcher.Match(s)                         into match                         where match.Success && match.Groups.Count == 2                         select match.Groups[1].Value;
Magic Number,NChurn.Core.Adapters.TF,TFAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\TF\TFAdapter.cs,ParseImpl,The following statement contains a magic number: return from s in strings                     select _changedResourceMatcher.Match(s)                         into match                         where match.Success && match.Groups.Count == 3                         select match.Groups[2].Value;
Magic Number,NChurn.Core.Adapters.TF,TFAdapter,C:\repos\jondot_nchurn\NChurn.Core\Adapters\TF\TFAdapter.cs,ParseImpl,The following statement contains a magic number: return from s in strings                     select _changedResourceMatcher.Match(s)                         into match                         where match.Success && match.Groups.Count == 3                         select match.Groups[2].Value;
Magic Number,NChurn.Core.Reporters,TableReporter,C:\repos\jondot_nchurn\NChurn.Core\Reporters\TableReporter.cs,Write,The following statement contains a magic number: var total = max + i + 3;
Magic Number,NChurn.Core.Reporters,TableReporter,C:\repos\jondot_nchurn\NChurn.Core\Reporters\TableReporter.cs,Write,The following statement contains a magic number: string hline = "+".PadRight(total+3' '-')+"+";
