Architecture smell,Project,Namespace,Cause
Cyclic Dependency,MiniClient,MiniClient,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: MiniClient' agsXMPP.protocol.extensions.caps' agsXMPP.protocol.client
Unstable Dependency,MiniClient,MiniClient,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): agsXMPP.protocol.extensions.bytestreams' agsXMPP.protocol.x.muc' agsXMPP.ui.xdata
