Implementation smell,Namespace,Class,File,Method,Description
Virtual Method Call from Constructor,OpenGlobe.Examples,SubdivisionSphere1,C:\repos\virtualglobebook_OpenGlobe\Source\Examples\Chapter04\SubdivisionSphere1\SubdivisionSphere1.cs,SubdivisionSphere1,The constructor "SubdivisionSphere1" calls a virtual method "CreateVertexArray".
Magic Number,OpenGlobe.Examples,SubdivisionSphere1,C:\repos\virtualglobebook_OpenGlobe\Source\Examples\Chapter04\SubdivisionSphere1\SubdivisionSphere1.cs,SubdivisionSphere1,The following statement contains a magic number: _window = Device.CreateWindow(800' 600' "Chapter 4:  Subdivision Sphere 1");
Magic Number,OpenGlobe.Examples,SubdivisionSphere1,C:\repos\virtualglobebook_OpenGlobe\Source\Examples\Chapter04\SubdivisionSphere1\SubdivisionSphere1.cs,SubdivisionSphere1,The following statement contains a magic number: _window = Device.CreateWindow(800' 600' "Chapter 4:  Subdivision Sphere 1");
Magic Number,OpenGlobe.Examples,SubdivisionSphere1,C:\repos\virtualglobebook_OpenGlobe\Source\Examples\Chapter04\SubdivisionSphere1\SubdivisionSphere1.cs,SubdivisionSphere1,The following statement contains a magic number: Mesh mesh = SubdivisionSphereTessellatorSimple.Compute(5);
Magic Number,OpenGlobe.Examples,SubdivisionSphere1,C:\repos\virtualglobebook_OpenGlobe\Source\Examples\Chapter04\SubdivisionSphere1\SubdivisionSphere1.cs,Main,The following statement contains a magic number: using (SubdivisionSphere1 example = new SubdivisionSphere1())              {                  example.Run(30.0);              }
