Implementation smell,Namespace,Class,File,Method,Description
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: await System.Threading.Tasks.Task.Delay (1000);  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
Magic Number,TheCustomComponent,AcmeCorpNetworkTracer,C:\repos\Esri_arcgis-pro-samples-beta\Beta4\CustomComponent\AcmeCorpNetworkTracer.cs,ModifyTrace,The following statement contains a magic number: tr.tracedSegmentOids = new List<long> () {  	10'  	123'  	15'  	9'  	345'  	634  };  
